🦵🏻	bahagian kaki, kaki, kaki: ton kulit cerah, tendang, ton kulit cerah
👨🏾‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🔬	ahli biologi, ahli fizik, ahli kimia, ahli matematik, jurutera, lelaki, saintis, saintis lelaki: ton kulit gelap, ton kulit gelap
👩🏻‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit cerah, ton kulit cerah, wanita
👩🏼‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
👩🏽‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit sederhana, ton kulit sederhana, wanita
👩🏾‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
👩🏿‍🔬	ahli biologi, ahli fizik, ahli kimia, saintis, saintis wanita: ton kulit gelap, ton kulit gelap, wanita
👨🏻‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit cerah, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit cerah
👨🏼‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit sederhana cerah, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit sederhana cerah
👨🏽‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit sederhana, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit sederhana
👨🏾‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit sederhana gelap, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit sederhana gelap
👨🏿‍💻	ahli teknologi, ahli teknologi lelaki, ahli teknologi lelaki: ton kulit gelap, lelaki, pembangun, pencipta, pengekod, perisian, ton kulit gelap
👩🏻‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit cerah, pembangun, pencipta, pengekod, ton kulit cerah, wanita
👩🏼‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit sederhana cerah, pembangun, pencipta, pengekod, ton kulit sederhana cerah, wanita
👩🏽‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit sederhana, pembangun, pencipta, pengekod, ton kulit sederhana, wanita
👩🏾‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit sederhana gelap, pembangun, pencipta, pengekod, ton kulit sederhana gelap, wanita
👩🏿‍💻	ahli teknologi, ahli teknologi wanita, ahli teknologi wanita: ton kulit gelap, pembangun, pencipta, pengekod, ton kulit gelap, wanita
👨🏻‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit cerah, rock, ton kulit cerah
👨🏼‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit sederhana cerah, rock, ton kulit sederhana cerah
👨🏽‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit sederhana, rock, ton kulit sederhana
👨🏾‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit sederhana gelap, rock, ton kulit sederhana gelap
👨🏿‍🎤	bintang, lelaki, pelakon, penghibur, penyanyi, penyanyi lelaki: ton kulit gelap, rock, ton kulit gelap
👩🏻‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit cerah, perempuan, rock, ton kulit cerah, wanita
👩🏼‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit sederhana cerah, perempuan, rock, ton kulit sederhana cerah, wanita
👩🏽‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit sederhana, perempuan, rock, ton kulit sederhana, wanita
👩🏾‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit sederhana gelap, perempuan, rock, ton kulit sederhana gelap, wanita
👩🏿‍🎤	bintang, pelakon, penghibur, penyanyi, penyanyi wanita: ton kulit gelap, perempuan, rock, ton kulit gelap, wanita
👨🏻‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit cerah, ton kulit cerah
👨🏼‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit sederhana, ton kulit sederhana
👨🏾‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🎨	artis, lelaki, palet, pelukis lelaki, pelukis lelaki: ton kulit gelap, ton kulit gelap
👩🏻‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit cerah, perempuan, ton kulit cerah, wanita
👩🏼‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit sederhana, perempuan, ton kulit sederhana, wanita
👩🏾‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍🎨	artis, palet, pelukis wanita, pelukis wanita: ton kulit gelap, perempuan, ton kulit gelap, wanita
👨🏻‍✈	juruterbang, juruterbang lelaki: ton kulit cerah, kapal terbang, lelaki, ton kulit cerah
👨🏼‍✈	juruterbang, juruterbang lelaki: ton kulit sederhana cerah, kapal terbang, lelaki, ton kulit sederhana cerah
👨🏽‍✈	juruterbang, juruterbang lelaki: ton kulit sederhana, kapal terbang, lelaki, ton kulit sederhana
👨🏾‍✈	juruterbang, juruterbang lelaki: ton kulit sederhana gelap, kapal terbang, lelaki, ton kulit sederhana gelap
👨🏿‍✈	juruterbang, juruterbang lelaki: ton kulit gelap, kapal terbang, lelaki, ton kulit gelap
👩🏻‍✈	juruterbang, juruterbang wanita: ton kulit cerah, kapal terbang, perempuan, ton kulit cerah, wanita
👩🏼‍✈	juruterbang, juruterbang wanita: ton kulit sederhana cerah, kapal terbang, perempuan, ton kulit sederhana cerah, wanita
👩🏽‍✈	juruterbang, juruterbang wanita: ton kulit sederhana, kapal terbang, perempuan, ton kulit sederhana, wanita
👩🏾‍✈	juruterbang, juruterbang wanita: ton kulit sederhana gelap, kapal terbang, perempuan, ton kulit sederhana gelap, wanita
👩🏿‍✈	juruterbang, juruterbang wanita: ton kulit gelap, kapal terbang, perempuan, ton kulit gelap, wanita
👨🏻‍🚀	angkasawan, angkasawan: ton kulit cerah, lelaki, roket, ton kulit cerah
👨🏼‍🚀	angkasawan, angkasawan: ton kulit sederhana cerah, lelaki, roket, ton kulit sederhana cerah
👨🏽‍🚀	angkasawan, angkasawan: ton kulit sederhana, lelaki, roket, ton kulit sederhana
👨🏾‍🚀	angkasawan, angkasawan: ton kulit sederhana gelap, lelaki, roket, ton kulit sederhana gelap
👨🏿‍🚀	angkasawan, angkasawan: ton kulit gelap, lelaki, roket, ton kulit gelap
👩🏻‍🚀	angkasawati, angkasawati: ton kulit cerah, perempuan, roket, ton kulit cerah, wanita
👩🏼‍🚀	angkasawati, angkasawati: ton kulit sederhana cerah, perempuan, roket, ton kulit sederhana cerah, wanita
👩🏽‍🚀	angkasawati, angkasawati: ton kulit sederhana, perempuan, roket, ton kulit sederhana, wanita
👩🏾‍🚀	angkasawati, angkasawati: ton kulit sederhana gelap, perempuan, roket, ton kulit sederhana gelap, wanita
👩🏿‍🚀	angkasawati, angkasawati: ton kulit gelap, perempuan, roket, ton kulit gelap, wanita
👨🏻‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit cerah, lelaki, ton kulit cerah, trak bomba
👨🏼‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit sederhana cerah, lelaki, ton kulit sederhana cerah, trak bomba
👨🏽‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit sederhana, lelaki, ton kulit sederhana, trak bomba
👨🏾‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit sederhana gelap, lelaki, ton kulit sederhana gelap, trak bomba
👨🏿‍🚒	ahli bomba, ahli bomba lelaki, ahli bomba lelaki: ton kulit gelap, lelaki, ton kulit gelap, trak bomba
👩🏻‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit cerah, perempuan, ton kulit cerah, trak bomba, wanita
👩🏼‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, trak bomba, wanita
👩🏽‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit sederhana, perempuan, ton kulit sederhana, trak bomba, wanita
👩🏾‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, trak bomba, wanita
👩🏿‍🚒	ahli bomba, ahli bomba wanita, ahli bomba wanita: ton kulit gelap, perempuan, ton kulit gelap, trak bomba, wanita
👮🏻	mata-mata, pegawai, pegawai polis: ton kulit cerah, polis, ton kulit cerah
👮🏼	mata-mata, pegawai, pegawai polis: ton kulit sederhana cerah, polis, ton kulit sederhana cerah
👮🏽	mata-mata, pegawai, pegawai polis: ton kulit sederhana, polis, ton kulit sederhana
👮🏾	mata-mata, pegawai, pegawai polis: ton kulit sederhana gelap, polis, ton kulit sederhana gelap
👮🏿	mata-mata, pegawai, pegawai polis: ton kulit gelap, polis, ton kulit gelap
👮🏻‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit cerah, polis, ton kulit cerah
👮🏼‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit sederhana cerah, polis, ton kulit sederhana cerah
👮🏽‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit sederhana, polis, ton kulit sederhana
👮🏾‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit sederhana gelap, polis, ton kulit sederhana gelap
👮🏿‍♂	lelaki, pegawai polis lelaki, pegawai polis lelaki: ton kulit gelap, polis, ton kulit gelap
👮🏻‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit cerah, perempuan, polis, ton kulit cerah, wanita
👮🏼‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit sederhana cerah, perempuan, polis, ton kulit sederhana cerah, wanita
👮🏽‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit sederhana, perempuan, polis, ton kulit sederhana, wanita
👮🏾‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit sederhana gelap, perempuan, polis, ton kulit sederhana gelap, wanita
👮🏿‍♀	pegawai polis wanita, pegawai polis wanita: ton kulit gelap, perempuan, polis, ton kulit gelap, wanita
🕵🏻	detektif, detektif: ton kulit cerah, penyiasat, perisik, ton kulit cerah
🕵🏼	detektif, detektif: ton kulit sederhana cerah, penyiasat, perisik, ton kulit sederhana cerah
🕵🏽	detektif, detektif: ton kulit sederhana, penyiasat, perisik, ton kulit sederhana
🕵🏾	detektif, detektif: ton kulit sederhana gelap, penyiasat, perisik, ton kulit sederhana gelap
🕵🏿	detektif, detektif: ton kulit gelap, penyiasat, perisik, ton kulit gelap
🕵🏻‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit cerah, pengintip, ton kulit cerah
🕵🏼‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit sederhana cerah, pengintip, ton kulit sederhana cerah
🕵🏽‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit sederhana, pengintip, ton kulit sederhana
🕵🏾‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit sederhana gelap, pengintip, ton kulit sederhana gelap
🕵🏿‍♂	detektif, lelaki, mata-mata gelap, mata-mata gelap lelaki, mata-mata gelap lelaki: ton kulit gelap, pengintip, ton kulit gelap
🕵🏻‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit cerah, pengintip, perempuan, ton kulit cerah, wanita
🕵🏼‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit sederhana cerah, pengintip, perempuan, ton kulit sederhana cerah, wanita
🕵🏽‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit sederhana, pengintip, perempuan, ton kulit sederhana, wanita
🕵🏾‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit sederhana gelap, pengintip, perempuan, ton kulit sederhana gelap, wanita
🕵🏿‍♀	detektif, mata-mata gelap, mata-mata gelap wanita, mata-mata gelap wanita: ton kulit gelap, pengintip, perempuan, ton kulit gelap, wanita
💂🏻	pengawal, pengawal: ton kulit cerah, ton kulit cerah
💂🏼	pengawal, pengawal: ton kulit sederhana cerah, ton kulit sederhana cerah
💂🏽	pengawal, pengawal: ton kulit sederhana, ton kulit sederhana
💂🏾	pengawal, pengawal: ton kulit sederhana gelap, ton kulit sederhana gelap
💂🏿	pengawal, pengawal: ton kulit gelap, ton kulit gelap
💂🏻‍♂	lelaki, pengawal, pengawal lelaki: ton kulit cerah, ton kulit cerah
💂🏼‍♂	lelaki, pengawal, pengawal lelaki: ton kulit sederhana cerah, ton kulit sederhana cerah
💂🏽‍♂	lelaki, pengawal, pengawal lelaki: ton kulit sederhana, ton kulit sederhana
💂🏾‍♂	lelaki, pengawal, pengawal lelaki: ton kulit sederhana gelap, ton kulit sederhana gelap
💂🏿‍♂	lelaki, pengawal, pengawal lelaki: ton kulit gelap, ton kulit gelap
💂🏻‍♀	pengawal, pengawal wanita: ton kulit cerah, perempuan, ton kulit cerah, wanita
💂🏼‍♀	pengawal, pengawal wanita: ton kulit sederhana cerah, perempuan, ton kulit sederhana cerah, wanita
💂🏽‍♀	pengawal, pengawal wanita: ton kulit sederhana, perempuan, ton kulit sederhana, wanita
💂🏾‍♀	pengawal, pengawal wanita: ton kulit sederhana gelap, perempuan, ton kulit sederhana gelap, wanita
💂🏿‍♀	pengawal, pengawal wanita: ton kulit gelap, perempuan, ton kulit gelap, wanita
👷🏻	pekerja, pekerja pembinaan: ton kulit cerah, pembinaan, ton kulit cerah, topi
👷🏼	pekerja, pekerja pembinaan: ton kulit sederhana cerah, pembinaan, ton kulit sederhana cerah, topi
👷🏽	pekerja, pekerja pembinaan: ton kulit sederhana, pembinaan, ton kulit sederhana, topi
👷🏾	pekerja, pekerja pembinaan: ton kulit sederhana gelap, pembinaan, ton kulit sederhana gelap, topi
👷🏿	pekerja, pekerja pembinaan: ton kulit gelap, pembinaan, ton kulit gelap, topi
👷🏻‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit cerah, pembinaan, ton kulit cerah
👷🏼‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit sederhana cerah, pembinaan, ton kulit sederhana cerah
👷🏽‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit sederhana, pembinaan, ton kulit sederhana
👷🏾‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit sederhana gelap, pembinaan, ton kulit sederhana gelap
👷🏿‍♂	lelaki, pekerja, pekerja pembinaan lelaki: ton kulit gelap, pembinaan, ton kulit gelap
👷🏻‍♀	pekerja, pekerja pembinaan wanita: ton kulit cerah, pembinaan, perempuan, ton kulit cerah, wanita
👷🏼‍♀	pekerja, pekerja pembinaan wanita: ton kulit sederhana cerah, pembinaan, perempuan, ton kulit sederhana cerah, wanita
👷🏽‍♀	pekerja, pekerja pembinaan wanita: ton kulit sederhana, pembinaan, perempuan, ton kulit sederhana, wanita
👷🏾‍♀	pekerja, pekerja pembinaan wanita: ton kulit sederhana gelap, pembinaan, perempuan, ton kulit sederhana gelap, wanita
👷🏿‍♀	pekerja, pekerja pembinaan wanita: ton kulit gelap, pembinaan, perempuan, ton kulit gelap, wanita
🤴🏻	putera, putera: ton kulit cerah, ton kulit cerah
🤴🏼	putera, putera: ton kulit sederhana cerah, ton kulit sederhana cerah
🤴🏽	putera, putera: ton kulit sederhana, ton kulit sederhana
🤴🏾	putera, putera: ton kulit sederhana gelap, ton kulit sederhana gelap
🤴🏿	putera, putera: ton kulit gelap, ton kulit gelap
👸🏻	cerita dongeng, fantasi, puteri, puteri: ton kulit cerah, ton kulit cerah
👸🏼	cerita dongeng, fantasi, puteri, puteri: ton kulit sederhana cerah, ton kulit sederhana cerah
👸🏽	cerita dongeng, fantasi, puteri, puteri: ton kulit sederhana, ton kulit sederhana
👸🏾	cerita dongeng, fantasi, puteri, puteri: ton kulit sederhana gelap, ton kulit sederhana gelap
👸🏿	cerita dongeng, fantasi, puteri, puteri: ton kulit gelap, ton kulit gelap
👳🏻	lelaki, orang berserban, orang berserban: ton kulit cerah, serban, ton kulit cerah
👳🏼	lelaki, orang berserban, orang berserban: ton kulit sederhana cerah, serban, ton kulit sederhana cerah
👳🏽	lelaki, orang berserban, orang berserban: ton kulit sederhana, serban, ton kulit sederhana
👳🏾	lelaki, orang berserban, orang berserban: ton kulit sederhana gelap, serban, ton kulit sederhana gelap
👳🏿	lelaki, orang berserban, orang berserban: ton kulit gelap, serban, ton kulit gelap
👳🏻‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit cerah, serban, ton kulit cerah
👳🏼‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit sederhana cerah, serban, ton kulit sederhana cerah
👳🏽‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit sederhana, serban, ton kulit sederhana
👳🏾‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit sederhana gelap, serban, ton kulit sederhana gelap
👳🏿‍♂	lelaki, lelaki berserban, lelaki berserban: ton kulit gelap, serban, ton kulit gelap
👳🏻‍♀	perempuan, serban, ton kulit cerah, wanita, wanita berserban, wanita berserban: ton kulit cerah
👳🏼‍♀	perempuan, serban, ton kulit sederhana cerah, wanita, wanita berserban, wanita berserban: ton kulit sederhana cerah
👳🏽‍♀	perempuan, serban, ton kulit sederhana, wanita, wanita berserban, wanita berserban: ton kulit sederhana
👳🏾‍♀	perempuan, serban, ton kulit sederhana gelap, wanita, wanita berserban, wanita berserban: ton kulit sederhana gelap
👳🏿‍♀	perempuan, serban, ton kulit gelap, wanita, wanita berserban, wanita berserban: ton kulit gelap
👲🏻	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit cerah, ton kulit cerah, topi
👲🏼	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit sederhana cerah, ton kulit sederhana cerah, topi
👲🏽	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit sederhana, ton kulit sederhana, topi
👲🏾	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit sederhana gelap, ton kulit sederhana gelap, topi
👲🏿	gua pi mao, lelaki, lelaki bertopi cina, lelaki bertopi cina: ton kulit gelap, ton kulit gelap, topi
🧕🏻	hijab, mantila, tichel, ton kulit cerah, tudung, wanita bertudung, wanita bertudung: ton kulit cerah
🧕🏼	hijab, mantila, tichel, ton kulit sederhana cerah, tudung, wanita bertudung, wanita bertudung: ton kulit sederhana cerah
🧕🏽	hijab, mantila, tichel, ton kulit sederhana, tudung, wanita bertudung, wanita bertudung: ton kulit sederhana
