🦵🏻	канечнасць, нага, нага: светлы тон скуры, светлы тон скуры, удар
👩🏾‍🔬	біёлаг, жанчына, жанчына-навуковец, жанчына-навуковец: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, фізік, хімік
👩🏿‍🔬	біёлаг, жанчына, жанчына-навуковец, жанчына-навуковец: цёмны тон скуры, фізік, хімік, цёмны тон скуры
👨🏻‍💻	камп’ютаршчык, мужчына, праграміст, распрацоўшчык, светлы тон скуры, тэхнік, тэхнік: светлы тон скуры
👨🏼‍💻	камп’ютаршчык, мужчына, праграміст, распрацоўшчык, сярэдне-светлы тон скуры, тэхнік, тэхнік: сярэдне-светлы тон скуры
👨🏽‍💻	камп’ютаршчык, мужчына, праграміст, распрацоўшчык, сярэдні тон скуры, тэхнік, тэхнік: сярэдні тон скуры
👨🏾‍💻	камп’ютаршчык, мужчына, праграміст, распрацоўшчык, сярэдне-цёмны тон скуры, тэхнік, тэхнік: сярэдне-цёмны тон скуры
👨🏿‍💻	камп’ютаршчык, мужчына, праграміст, распрацоўшчык, тэхнік, тэхнік: цёмны тон скуры, цёмны тон скуры
👩🏻‍💻	жанчына, жанчына-тэхнік, жанчына-тэхнік: светлы тон скуры, камп’ютаршчык, праграмістка, распрацоўшчыца, светлы тон скуры
👩🏼‍💻	жанчына, жанчына-тэхнік, жанчына-тэхнік: сярэдне-светлы тон скуры, камп’ютаршчык, праграмістка, распрацоўшчыца, сярэдне-светлы тон скуры
👩🏽‍💻	жанчына, жанчына-тэхнік, жанчына-тэхнік: сярэдні тон скуры, камп’ютаршчык, праграмістка, распрацоўшчыца, сярэдні тон скуры
👩🏾‍💻	жанчына, жанчына-тэхнік, жанчына-тэхнік: сярэдне-цёмны тон скуры, камп’ютаршчык, праграмістка, распрацоўшчыца, сярэдне-цёмны тон скуры
👩🏿‍💻	жанчына, жанчына-тэхнік, жанчына-тэхнік: цёмны тон скуры, камп’ютаршчык, праграмістка, распрацоўшчыца, цёмны тон скуры
👨🏻‍🎤	зорка, мужчына, рок, светлы тон скуры, спеў, спявак, спявак: светлы тон скуры, эстраднік
👨🏼‍🎤	зорка, мужчына, рок, спеў, спявак, спявак: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, эстраднік
👨🏽‍🎤	зорка, мужчына, рок, спеў, спявак, спявак: сярэдні тон скуры, сярэдні тон скуры, эстраднік
👨🏾‍🎤	зорка, мужчына, рок, спеў, спявак, спявак: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, эстраднік
👨🏿‍🎤	зорка, мужчына, рок, спеў, спявак, спявак: цёмны тон скуры, цёмны тон скуры, эстраднік
👩🏻‍🎤	жанчына, зорка, рок, светлы тон скуры, спеў, спявачка, спявачка: светлы тон скуры, эстрадніца
👩🏼‍🎤	жанчына, зорка, рок, спеў, спявачка, спявачка: сярэдне-светлы тон скуры, сярэдне-светлы тон скуры, эстрадніца
👩🏽‍🎤	жанчына, зорка, рок, спеў, спявачка, спявачка: сярэдні тон скуры, сярэдні тон скуры, эстрадніца
👩🏾‍🎤	жанчына, зорка, рок, спеў, спявачка, спявачка: сярэдне-цёмны тон скуры, сярэдне-цёмны тон скуры, эстрадніца
👩🏿‍🎤	жанчына, зорка, рок, спеў, спявачка, спявачка: цёмны тон скуры, цёмны тон скуры, эстрадніца
👨🏻‍🎨	мастак, мастак: светлы тон скуры, мужчына, палітра, пэндзаль, светлы тон скуры
👨🏼‍🎨	мастак, мастак: сярэдне-светлы тон скуры, мужчына, палітра, пэндзаль, сярэдне-светлы тон скуры
