‾	верхняя рыса
🫱🏾‍🫲🏻	дамовіліся, поціск рук, поціск рук: сярэдняцёмны тон скуры светлы тон скуры, рукапацісканне, светлы тон скуры, сустрэча, сярэдняцёмны тон скуры
🫱🏾‍🫲🏼	дамовіліся, поціск рук, поціск рук: сярэдняцёмны тон скуры сярэднясветлы тон скуры, рукапацісканне, сустрэча, сярэднясветлы тон скуры, сярэдняцёмны тон скуры
🫱🏾‍🫲🏽	дамовіліся, поціск рук, поціск рук: сярэдняцёмны тон скуры сярэдні тон скуры, рукапацісканне, сустрэча, сярэдняцёмны тон скуры, сярэдні тон скуры
🫱🏾‍🫲🏿	дамовіліся, поціск рук, поціск рук: сярэдняцёмны тон скуры цёмны тон скуры, рукапацісканне, сустрэча, сярэдняцёмны тон скуры, цёмны тон скуры
🫱🏿‍🫲🏻	дамовіліся, поціск рук, поціск рук: цёмны тон скуры светлы тон скуры, рукапацісканне, светлы тон скуры, сустрэча, цёмны тон скуры
🫱🏿‍🫲🏼	дамовіліся, поціск рук, поціск рук: цёмны тон скуры сярэднясветлы тон скуры, рукапацісканне, сустрэча, сярэднясветлы тон скуры, цёмны тон скуры
🫱🏿‍🫲🏽	дамовіліся, поціск рук, поціск рук: цёмны тон скуры сярэдні тон скуры, рукапацісканне, сустрэча, сярэдні тон скуры, цёмны тон скуры
🫱🏿‍🫲🏾	дамовіліся, поціск рук, поціск рук: цёмны тон скуры сярэдняцёмны тон скуры, рукапацісканне, сустрэча, сярэдняцёмны тон скуры, цёмны тон скуры
🫲	лева, налева, рука, рука налева
🫲🏻	лева, налева, рука, рука налева: светлы тон скуры, светлы тон скуры
