🦵🏻	άκρο, ανοιχτόχρωμος τόνος δέρματος, κλωτσιά, πόδι, πόδι: ανοιχτόχρωμος τόνος δέρματος
👩🏾‍🏫	γυναίκα, δασκάλα, δασκάλα: μεσαίος-σκούρος τόνος δέρματος, εκπαίδευση, καθηγήτρια, μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🏫	γυναίκα, δασκάλα, δασκάλα: σκούρος τόνος δέρματος, εκπαίδευση, καθηγήτρια, σκούρος τόνος δέρματος
👨🏻‍⚖	άντρας, άντρας δικαστής: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, δικαστήριο, δικαστής, νομική
👨🏼‍⚖	άντρας, άντρας δικαστής: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δικαστήριο, δικαστής, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νομική
👨🏽‍⚖	άντρας, άντρας δικαστής: μεσαίος τόνος δέρματος, δικαστήριο, δικαστής, μεσαίος τόνος δέρματος, νομική
👨🏾‍⚖	άντρας, άντρας δικαστής: μεσαίος-σκούρος τόνος δέρματος, δικαστήριο, δικαστής, μεσαίος-σκούρος τόνος δέρματος, νομική
👨🏿‍⚖	άντρας, άντρας δικαστής: σκούρος τόνος δέρματος, δικαστήριο, δικαστής, νομική, σκούρος τόνος δέρματος
👩🏻‍⚖	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα δικαστής: ανοιχτόχρωμος τόνος δέρματος, δικαστήριο, δικαστής, νομική
👩🏼‍⚖	γυναίκα, γυναίκα δικαστής: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, δικαστήριο, δικαστής, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, νομική
👩🏽‍⚖	γυναίκα, γυναίκα δικαστής: μεσαίος τόνος δέρματος, δικαστήριο, δικαστής, μεσαίος τόνος δέρματος, νομική
👩🏾‍⚖	γυναίκα, γυναίκα δικαστής: μεσαίος-σκούρος τόνος δέρματος, δικαστήριο, δικαστής, μεσαίος-σκούρος τόνος δέρματος, νομική
👩🏿‍⚖	γυναίκα, γυναίκα δικαστής: σκούρος τόνος δέρματος, δικαστήριο, δικαστής, νομική, σκούρος τόνος δέρματος
👨🏻‍🌾	άντρας, αγρότης, αγρότης: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, κήπος, καλλιέργεια, κηπουρός
👨🏼‍🌾	άντρας, αγρότης, αγρότης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, κήπος, καλλιέργεια, κηπουρός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👨🏽‍🌾	άντρας, αγρότης, αγρότης: μεσαίος τόνος δέρματος, κήπος, καλλιέργεια, κηπουρός, μεσαίος τόνος δέρματος
👨🏾‍🌾	άντρας, αγρότης, αγρότης: μεσαίος-σκούρος τόνος δέρματος, κήπος, καλλιέργεια, κηπουρός, μεσαίος-σκούρος τόνος δέρματος
👨🏿‍🌾	άντρας, αγρότης, αγρότης: σκούρος τόνος δέρματος, κήπος, καλλιέργεια, κηπουρός, σκούρος τόνος δέρματος
👩🏻‍🌾	αγρότισσα, αγρότισσα: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γυναίκα, κήπος, καλλιέργεια, κηπουρός
👩🏼‍🌾	αγρότισσα, αγρότισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, γυναίκα, κήπος, καλλιέργεια, κηπουρός, μεσαίος-ανοιχτόχρωμος τόνος δέρματος
👩🏽‍🌾	αγρότισσα, αγρότισσα: μεσαίος τόνος δέρματος, γυναίκα, κήπος, καλλιέργεια, κηπουρός, μεσαίος τόνος δέρματος
👩🏾‍🌾	αγρότισσα, αγρότισσα: μεσαίος-σκούρος τόνος δέρματος, γυναίκα, κήπος, καλλιέργεια, κηπουρός, μεσαίος-σκούρος τόνος δέρματος
👩🏿‍🌾	αγρότισσα, αγρότισσα: σκούρος τόνος δέρματος, γυναίκα, κήπος, καλλιέργεια, κηπουρός, σκούρος τόνος δέρματος
👨🏻‍🍳	άντρας, ανοιχτόχρωμος τόνος δέρματος, μάγειρας, μάγειρας: ανοιχτόχρωμος τόνος δέρματος, μαγειρική, σεφ
👨🏼‍🍳	άντρας, μάγειρας, μάγειρας: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μαγειρική, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σεφ
👨🏽‍🍳	άντρας, μάγειρας, μάγειρας: μεσαίος τόνος δέρματος, μαγειρική, μεσαίος τόνος δέρματος, σεφ
👨🏾‍🍳	άντρας, μάγειρας, μάγειρας: μεσαίος-σκούρος τόνος δέρματος, μαγειρική, μεσαίος-σκούρος τόνος δέρματος, σεφ
👨🏿‍🍳	άντρας, μάγειρας, μάγειρας: σκούρος τόνος δέρματος, μαγειρική, σεφ, σκούρος τόνος δέρματος
👩🏻‍🍳	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, μαγείρισσα, μαγείρισσα: ανοιχτόχρωμος τόνος δέρματος, μαγειρική, σεφ
👩🏼‍🍳	γυναίκα, μαγείρισσα, μαγείρισσα: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μαγειρική, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, σεφ
👩🏽‍🍳	γυναίκα, μαγείρισσα, μαγείρισσα: μεσαίος τόνος δέρματος, μαγειρική, μεσαίος τόνος δέρματος, σεφ
👩🏾‍🍳	γυναίκα, μαγείρισσα, μαγείρισσα: μεσαίος-σκούρος τόνος δέρματος, μαγειρική, μεσαίος-σκούρος τόνος δέρματος, σεφ
👩🏿‍🍳	γυναίκα, μαγείρισσα, μαγείρισσα: σκούρος τόνος δέρματος, μαγειρική, σεφ, σκούρος τόνος δέρματος
👨🏻‍🔧	άντρας, άντρας μηχανικός: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, ηλεκτρολόγος, μηχανικός, υδραυλικός
👨🏼‍🔧	άντρας, άντρας μηχανικός: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ηλεκτρολόγος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μηχανικός, υδραυλικός
👨🏽‍🔧	άντρας, άντρας μηχανικός: μεσαίος τόνος δέρματος, ηλεκτρολόγος, μεσαίος τόνος δέρματος, μηχανικός, υδραυλικός
👨🏾‍🔧	άντρας, άντρας μηχανικός: μεσαίος-σκούρος τόνος δέρματος, ηλεκτρολόγος, μεσαίος-σκούρος τόνος δέρματος, μηχανικός, υδραυλικός
👨🏿‍🔧	άντρας, άντρας μηχανικός: σκούρος τόνος δέρματος, ηλεκτρολόγος, μηχανικός, σκούρος τόνος δέρματος, υδραυλικός
👩🏻‍🔧	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, γυναίκα μηχανικός: ανοιχτόχρωμος τόνος δέρματος, ηλεκτρολόγος, μηχανικός, υδραυλικός
👩🏼‍🔧	γυναίκα, γυναίκα μηχανικός: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, ηλεκτρολόγος, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, μηχανικός, υδραυλικός
👩🏽‍🔧	γυναίκα, γυναίκα μηχανικός: μεσαίος τόνος δέρματος, ηλεκτρολόγος, μεσαίος τόνος δέρματος, μηχανικός, υδραυλικός
👩🏾‍🔧	γυναίκα, γυναίκα μηχανικός: μεσαίος-σκούρος τόνος δέρματος, ηλεκτρολόγος, μεσαίος-σκούρος τόνος δέρματος, μηχανικός, υδραυλικός
👩🏿‍🔧	γυναίκα, γυναίκα μηχανικός: σκούρος τόνος δέρματος, ηλεκτρολόγος, μηχανικός, σκούρος τόνος δέρματος, υδραυλικός
👨🏻‍🏭	άντρας, ανοιχτόχρωμος τόνος δέρματος, εργάτης, εργάτης: ανοιχτόχρωμος τόνος δέρματος, εργοστάσιο, οικοδομή
👨🏼‍🏭	άντρας, εργάτης, εργάτης: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, εργοστάσιο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, οικοδομή
👨🏽‍🏭	άντρας, εργάτης, εργάτης: μεσαίος τόνος δέρματος, εργοστάσιο, μεσαίος τόνος δέρματος, οικοδομή
👨🏾‍🏭	άντρας, εργάτης, εργάτης: μεσαίος-σκούρος τόνος δέρματος, εργοστάσιο, μεσαίος-σκούρος τόνος δέρματος, οικοδομή
👨🏿‍🏭	άντρας, εργάτης, εργάτης: σκούρος τόνος δέρματος, εργοστάσιο, οικοδομή, σκούρος τόνος δέρματος
👩🏻‍🏭	ανοιχτόχρωμος τόνος δέρματος, γυναίκα, εργάτρια, εργάτρια: ανοιχτόχρωμος τόνος δέρματος, εργοστάσιο, οικοδομή
👩🏼‍🏭	γυναίκα, εργάτρια, εργάτρια: μεσαίος-ανοιχτόχρωμος τόνος δέρματος, εργοστάσιο, μεσαίος-ανοιχτόχρωμος τόνος δέρματος, οικοδομή
👩🏽‍🏭	γυναίκα, εργάτρια, εργάτρια: μεσαίος τόνος δέρματος, εργοστάσιο, μεσαίος τόνος δέρματος, οικοδομή
👩🏾‍🏭	γυναίκα, εργάτρια, εργάτρια: μεσαίος-σκούρος τόνος δέρματος, εργοστάσιο, μεσαίος-σκούρος τόνος δέρματος, οικοδομή
👩🏿‍🏭	γυναίκα, εργάτρια, εργάτρια: σκούρος τόνος δέρματος, εργοστάσιο, οικοδομή, σκούρος τόνος δέρματος
👨🏻‍💼	άντρας υπάλληλος γραφείου, άντρας υπάλληλος γραφείου: ανοιχτόχρωμος τόνος δέρματος, ανοιχτόχρωμος τόνος δέρματος, γραφείο, επιχείρηση, εταιρία, υπάλληλος
