‾	اوور لائن
💀	افسانوی, جن, موت, چہرہ, کھوپڑی
☠️	موت, کراس, کراس شدہ ہڈیوں کے ساتھ کھوپڑی, کھوپڑی, ہڈیاں
💩	چہرہ, ڈھیر, گندگی, گندگی کا ڈھیر
🤡	جوکر, جوکر چہرہ, چہرہ
👹	افسانوی, جاپانی, جن, شیطانی جن, چہرہ
👺	افسانوی, جاپانی, جن, لمبی ناک اور مونچھوں والا دیو, چہرہ
👻	افسانوی, بھوت, جن, چہرہ
👽️	خلا, خلائی مخلوق, مخلوق, چہرہ
👾	خلا, خلائی دیو, دیو, چہرہ
🤖	روبوٹ, مونسٹر, چہرہ
😺	بلی, مسکراہٹ, منہ, چہرہ, کھلے منہ کے ساتھ مسکراتی بلی کا چہرہ
😸	بلی, مسکراتی آنکھوں والی کھل کے ہنستی بلی کا چہرہ, مسکراہٹ, چہرہ
😹	آنسو, بلی, خوشی, خوشی کے آنسو لیے بلی کا چہرہ, چہرہ
😻	بلی, دل, دل کی شکل والی آنکھوں کے ساتھ مسکراتی بلی کا چہرہ, پیار, چہرہ
😼	بلی, بلی کا طنزیہ مسکراہٹ والا چہرہ, طنز, مسکراہٹ, چہرہ
😽	آنکھ, بلی, بند آنکھوں کے ساتھ بوسہ لیتا بلی کا چہرہ, بوسہ, بوسہ دیتی بلی, چہرہ
🙀	اوہ, بلی, تھکی ہوئی, تھکی ہوئی بلی, حیران, چہرہ
😿	آنسو, بلی, روتی ہوئی بلی, رونا, غمگین, چہرہ
😾	بلی, نا شاد, ناشاد بلی, چہرہ
🙈	بندر, دیکھو, نہیں, چہرہ, ہاتھ سے آنکھیں چھپائے بندر
🙉	بندر, سنو, نہیں, چہرہ, کانوں کو ہاتھ سے چھپائے بندر
🙊	بندر, بولو, منہ کو ہاتھوں سے بند کیے بندر, نہیں, چہرہ
💌	خط, رومانس, محبت بھرا خط, پیار
💘	تیر, تیر پیوست ہوا دل, دل, زخمی
💝	دل, ربن, ربن باندھے دل
💖	دل, پر جوش, چمکتا دل
💗	بڑھتا ہوا دل, دل, نروس, پر جوش
💓	دل, دھڑکتا دل, دھڑکن
💞	دل, گھومتے دل, گھومنا
💕	دل, دو دل, پیار
💟	دل, دل کی ڈیکوریشن, ڈیکوریشن
❣️	دلی اظہار, رموزِ اوقاف, علامت, علامتِ ندائیہ
💔	دل, ٹوٹا ہوا, ٹوٹا ہوا دل
❤‍🔥	جلتی آگ میں دل
❤‍🩹	دل کی اصلاح
❤️	دل, سرخ, سرخ دل
🧡	نارنجی, نارنجی دل
💛	دل, پیلا, پیلا دل
💚	دل, سبز, سبز دل
💙	دل, نیلا, نیلا دل
💜	ارغوانی, ارغوانی دل, دل
🤎	بھورا, بھورا دل, دل
🖤	برا, دل, شیطانی, کالا, کالا دل
🤍	دل, سفید, سفید دل
💋	بوسہ, بوسے کا نشان, ہونٹ
💯	اسکور, سو, سو پوائنٹس, پورے
💢	علامت, غصہ, غصے کی علامت
💥	تصادم, ٹکر
💫	سر چکرانا, علامت
💦	قطرے, پسینہ, پسینے کے قطرے
💨	تیزی, تیزی سے دوڑنا, دوڑنا
🕳️	خالی جگہ, سوراخ, چھید
💬	علامت, غبارہ, گفتگو, گفتگو غبارہ
👁‍🗨	آنکھ, دھمکی, دھمکی روکنے کی مہم, مہم
🗨️	بایاں, علامت, غبارہ, گفتگو غبارہ بائیں
🗯️	دایاں, علامت, غبارہ, غصہ غبارہ دائیں
💭	سوچ, سوچ غبارہ, علامت, غبارہ
💤	زززززز, لفظی علامت, نیند
👋	جسم, لہرانا, ہاتھ, ہاتھ لہرانا
👋🏻	جسم, جلد کی ہلکی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی ہلکی رنگت
👋🏼	جسم, جلد کی درمیانی -ہلکی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی -ہلکی رنگت
👋🏽	جسم, جلد کی درمیانی رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی رنگت
👋🏾	جسم, جلد کی درمیانی سیاہ رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی درمیانی سیاہ رنگت
👋🏿	جسم, جلد کی سیاہ رنگت, لہرانا, ہاتھ, ہاتھ لہرانا: جلد کی سیاہ رنگت
🤚	پشت, کھڑا, کھڑے ہاتھ کی پشت, ہاتھ
🤚🏻	جلد کی ہلکی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی ہلکی رنگت, ہاتھ
🤚🏼	جلد کی درمیانی -ہلکی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🤚🏽	جلد کی درمیانی رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی رنگت, ہاتھ
🤚🏾	جلد کی درمیانی سیاہ رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی درمیانی سیاہ رنگت, ہاتھ
🤚🏿	جلد کی سیاہ رنگت, پشت, کھڑا, کھڑے ہاتھ کی پشت, کھڑے ہاتھ کی پشت: جلد کی سیاہ رنگت, ہاتھ
🖐️	انگلی, جسم, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, ہاتھ
🖐🏻	انگلی, جسم, جلد کی ہلکی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی ہلکی رنگت, ہاتھ
🖐🏼	انگلی, جسم, جلد کی درمیانی -ہلکی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🖐🏽	انگلی, جسم, جلد کی درمیانی رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی رنگت, ہاتھ
🖐🏾	انگلی, جسم, جلد کی درمیانی سیاہ رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🖐🏿	انگلی, جسم, جلد کی سیاہ رنگت, پھیلانا, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ, پھیلی ہوئی انگلیوں کے ساتھ بلند ہاتھ: جلد کی سیاہ رنگت, ہاتھ
✋	بلند ہاتھ, جسم, ہاتھ
✋🏻	بلند ہاتھ, بلند ہاتھ: جلد کی ہلکی رنگت, جسم, جلد کی ہلکی رنگت, ہاتھ
✋🏼	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی -ہلکی رنگت, جسم, جلد کی درمیانی -ہلکی رنگت, ہاتھ
✋🏽	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی رنگت, جسم, جلد کی درمیانی رنگت, ہاتھ
✋🏾	بلند ہاتھ, بلند ہاتھ: جلد کی درمیانی سیاہ رنگت, جسم, جلد کی درمیانی سیاہ رنگت, ہاتھ
✋🏿	بلند ہاتھ, بلند ہاتھ: جلد کی سیاہ رنگت, جسم, جلد کی سیاہ رنگت, ہاتھ
🖖	انگلی, اَتش فشاں, جسم, وولکن سلیوٹ, ہاتھ
🖖🏻	انگلی, اَتش فشاں, جسم, جلد کی ہلکی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی ہلکی رنگت, ہاتھ
🖖🏼	انگلی, اَتش فشاں, جسم, جلد کی درمیانی -ہلکی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی -ہلکی رنگت, ہاتھ
🖖🏽	انگلی, اَتش فشاں, جسم, جلد کی درمیانی رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی رنگت, ہاتھ
🖖🏾	انگلی, اَتش فشاں, جسم, جلد کی درمیانی سیاہ رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی درمیانی سیاہ رنگت, ہاتھ
🖖🏿	انگلی, اَتش فشاں, جسم, جلد کی سیاہ رنگت, وولکن سلیوٹ, وولکن سلیوٹ: جلد کی سیاہ رنگت, ہاتھ
🫱	دائیں, دائیں اشارہ کرتا ہاتھ, دائیں طرف, ہاتھ
🫱🏻	جلد کی ہلکی رنگت, دائیں, دائیں اشارہ کرتا ہاتھ, دائیں اشارہ کرتا ہاتھ: جلد کی ہلکی رنگت, دائیں طرف, ہاتھ
🫱🏼	جلد کی درمیانی -ہلکی رنگت, دائیں, دائیں اشارہ کرتا ہاتھ, دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی -ہلکی رنگت, دائیں طرف, ہاتھ
🫱🏽	جلد کی درمیانی رنگت, دائیں, دائیں اشارہ کرتا ہاتھ, دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی رنگت, دائیں طرف, ہاتھ
🫱🏾	جلد کی درمیانی سیاہ رنگت, دائیں, دائیں اشارہ کرتا ہاتھ, دائیں اشارہ کرتا ہاتھ: جلد کی درمیانی سیاہ رنگت, دائیں طرف, ہاتھ
🫱🏿	جلد کی سیاہ رنگت, دائیں, دائیں اشارہ کرتا ہاتھ, دائیں اشارہ کرتا ہاتھ: جلد کی سیاہ رنگت, دائیں طرف, ہاتھ
🫱🏻‍🫲🏼	جلد کی درمیانی -ہلکی رنگت, جلد کی ہلکی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی ہلکی رنگت اور جلد کی درمیانی -ہلکی رنگت
🫱🏻‍🫲🏽	جلد کی درمیانی رنگت, جلد کی ہلکی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی ہلکی رنگت اور جلد کی درمیانی رنگت
🫱🏻‍🫲🏾	جلد کی درمیانی سیاہ رنگت, جلد کی ہلکی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی ہلکی رنگت اور جلد کی درمیانی سیاہ رنگت
🫱🏻‍🫲🏿	جلد کی سیاہ رنگت, جلد کی ہلکی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی ہلکی رنگت اور جلد کی سیاہ رنگت
🫱🏼‍🫲🏻	جلد کی درمیانی -ہلکی رنگت, جلد کی ہلکی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی -ہلکی رنگت اور جلد کی ہلکی رنگت
🫱🏼‍🫲🏽	جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی -ہلکی رنگت اور جلد کی درمیانی رنگت
🫱🏼‍🫲🏾	جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی -ہلکی رنگت اور جلد کی درمیانی سیاہ رنگت
🫱🏼‍🫲🏿	جلد کی درمیانی -ہلکی رنگت, جلد کی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی -ہلکی رنگت اور جلد کی سیاہ رنگت
🫱🏽‍🫲🏻	جلد کی درمیانی رنگت, جلد کی ہلکی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی رنگت اور جلد کی ہلکی رنگت
🫱🏽‍🫲🏼	جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی رنگت اور جلد کی درمیانی -ہلکی رنگت
🫱🏽‍🫲🏾	جلد کی درمیانی رنگت, جلد کی درمیانی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی رنگت اور جلد کی درمیانی سیاہ رنگت
🫱🏽‍🫲🏿	جلد کی درمیانی رنگت, جلد کی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی رنگت اور جلد کی سیاہ رنگت
🫱🏾‍🫲🏻	جلد کی درمیانی سیاہ رنگت, جلد کی ہلکی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی سیاہ رنگت اور جلد کی ہلکی رنگت
🫱🏾‍🫲🏼	جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی سیاہ رنگت اور جلد کی درمیانی -ہلکی رنگت
🫱🏾‍🫲🏽	جلد کی درمیانی رنگت, جلد کی درمیانی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی سیاہ رنگت اور جلد کی درمیانی رنگت
🫱🏾‍🫲🏿	جلد کی درمیانی سیاہ رنگت, جلد کی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی درمیانی سیاہ رنگت اور جلد کی سیاہ رنگت
🫱🏿‍🫲🏻	جلد کی سیاہ رنگت, جلد کی ہلکی رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی سیاہ رنگت اور جلد کی ہلکی رنگت
🫱🏿‍🫲🏼	جلد کی درمیانی -ہلکی رنگت, جلد کی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی سیاہ رنگت اور جلد کی درمیانی -ہلکی رنگت
🫱🏿‍🫲🏽	جلد کی درمیانی رنگت, جلد کی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی سیاہ رنگت اور جلد کی درمیانی رنگت
🫱🏿‍🫲🏾	جلد کی درمیانی سیاہ رنگت, جلد کی سیاہ رنگت, ملانا, ہاتھ, ہاتھ ملانا: جلد کی سیاہ رنگت اور جلد کی درمیانی سیاہ رنگت
🫲	بائیں, بائیں اشارہ کرتا ہاتھ, بائیں طرف, ہاتھ
🫲🏻	بائیں, بائیں اشارہ کرتا ہاتھ, بائیں اشارہ کرتا ہاتھ: جلد کی ہلکی رنگت, بائیں طرف, جلد کی ہلکی رنگت, ہاتھ
🫲🏼	بائیں, بائیں اشارہ کرتا ہاتھ, بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی -ہلکی رنگت, بائیں طرف, جلد کی درمیانی -ہلکی رنگت, ہاتھ
🫲🏽	بائیں, بائیں اشارہ کرتا ہاتھ, بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی رنگت, بائیں طرف, جلد کی درمیانی رنگت, ہاتھ
🫲🏾	بائیں, بائیں اشارہ کرتا ہاتھ, بائیں اشارہ کرتا ہاتھ: جلد کی درمیانی سیاہ رنگت, بائیں طرف, جلد کی درمیانی سیاہ رنگت, ہاتھ
🫲🏿	بائیں, بائیں اشارہ کرتا ہاتھ, بائیں اشارہ کرتا ہاتھ: جلد کی سیاہ رنگت, بائیں طرف, جلد کی سیاہ رنگت, ہاتھ
🫳	برخاست, بھگانا, گرانا, ہتھیلی نیچے کیے ہاتھ
🫳🏻	برخاست, بھگانا, جلد کی ہلکی رنگت, گرانا, ہتھیلی نیچے کیے ہاتھ, ہتھیلی نیچے کیے ہاتھ: جلد کی ہلکی رنگت
🫳🏼	برخاست, بھگانا, جلد کی درمیانی -ہلکی رنگت, گرانا, ہتھیلی نیچے کیے ہاتھ, ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی -ہلکی رنگت
🫳🏽	برخاست, بھگانا, جلد کی درمیانی رنگت, گرانا, ہتھیلی نیچے کیے ہاتھ, ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی رنگت
🫳🏾	برخاست, بھگانا, جلد کی درمیانی سیاہ رنگت, گرانا, ہتھیلی نیچے کیے ہاتھ, ہتھیلی نیچے کیے ہاتھ: جلد کی درمیانی سیاہ رنگت
🫳🏿	برخاست, بھگانا, جلد کی سیاہ رنگت, گرانا, ہتھیلی نیچے کیے ہاتھ, ہتھیلی نیچے کیے ہاتھ: جلد کی سیاہ رنگت
🫴	آنا, اشارے سے بلانا, پکڑنا, پیش کش کرنا, ہتھیلی اوپر کیے ہاتھ
🫴🏻	آنا, اشارے سے بلانا, جلد کی ہلکی رنگت, پکڑنا, پیش کش کرنا, ہتھیلی اوپر کیے ہاتھ, ہتھیلی اوپر کیے ہاتھ: جلد کی ہلکی رنگت
🫴🏼	آنا, اشارے سے بلانا, جلد کی درمیانی -ہلکی رنگت, پکڑنا, پیش کش کرنا, ہتھیلی اوپر کیے ہاتھ, ہتھیلی اوپر کیے ہاتھ: جلد کی درمیانی -ہلکی رنگت
