🦵🏻	končetina, kopanec, kopnutí, noha, noha: světlý odstín pleti, světlý odstín pleti
⛹🏾‍♀	míč, středně tmavý odstín pleti, žena, žena driblující s míčem, žena driblující s míčem: středně tmavý odstín pleti
⛹🏿‍♀	míč, tmavý odstín pleti, žena, žena driblující s míčem, žena driblující s míčem: tmavý odstín pleti
🏋🏻	osoba vzpírající činku, osoba vzpírající činku: světlý odstín pleti, silák, světlý odstín pleti, tíha, vzpírání, vzpěrač, váha, činka
🏋🏼	osoba vzpírající činku, osoba vzpírající činku: středně světlý odstín pleti, silák, středně světlý odstín pleti, tíha, vzpírání, vzpěrač, váha, činka
🏋🏽	osoba vzpírající činku, osoba vzpírající činku: střední odstín pleti, silák, střední odstín pleti, tíha, vzpírání, vzpěrač, váha, činka
🏋🏾	osoba vzpírající činku, osoba vzpírající činku: středně tmavý odstín pleti, silák, středně tmavý odstín pleti, tíha, vzpírání, vzpěrač, váha, činka
🏋🏿	osoba vzpírající činku, osoba vzpírající činku: tmavý odstín pleti, silák, tmavý odstín pleti, tíha, vzpírání, vzpěrač, váha, činka
🏋🏻‍♂	muž, silák, světlý odstín pleti, tíha, vzpírání, vzpěrač, vzpěrač: světlý odstín pleti, váha, činka
🏋🏼‍♂	muž, silák, středně světlý odstín pleti, tíha, vzpírání, vzpěrač, vzpěrač: středně světlý odstín pleti, váha, činka
🏋🏽‍♂	muž, silák, střední odstín pleti, tíha, vzpírání, vzpěrač, vzpěrač: střední odstín pleti, váha, činka
🏋🏾‍♂	muž, silák, středně tmavý odstín pleti, tíha, vzpírání, vzpěrač, vzpěrač: středně tmavý odstín pleti, váha, činka
🏋🏿‍♂	muž, silák, tmavý odstín pleti, tíha, vzpírání, vzpěrač, vzpěrač: tmavý odstín pleti, váha, činka
🏋🏻‍♀	silná, světlý odstín pleti, tíha, vzpírání, vzpěračka, vzpěračka: světlý odstín pleti, váha, činka, žena
🏋🏼‍♀	silná, středně světlý odstín pleti, tíha, vzpírání, vzpěračka, vzpěračka: středně světlý odstín pleti, váha, činka, žena
🏋🏽‍♀	silná, střední odstín pleti, tíha, vzpírání, vzpěračka, vzpěračka: střední odstín pleti, váha, činka, žena
🏋🏾‍♀	silná, středně tmavý odstín pleti, tíha, vzpírání, vzpěračka, vzpěračka: středně tmavý odstín pleti, váha, činka, žena
🏋🏿‍♀	silná, tmavý odstín pleti, tíha, vzpírání, vzpěračka, vzpěračka: tmavý odstín pleti, váha, činka, žena
🚴🏻	cyklista, cyklistika, kolo, osoba na kole, osoba na kole: světlý odstín pleti, světlý odstín pleti
🚴🏼	cyklista, cyklistika, kolo, osoba na kole, osoba na kole: středně světlý odstín pleti, středně světlý odstín pleti
🚴🏽	cyklista, cyklistika, kolo, osoba na kole, osoba na kole: střední odstín pleti, střední odstín pleti
🚴🏾	cyklista, cyklistika, kolo, osoba na kole, osoba na kole: středně tmavý odstín pleti, středně tmavý odstín pleti
🚴🏿	cyklista, cyklistika, kolo, osoba na kole, osoba na kole: tmavý odstín pleti, tmavý odstín pleti
🚴🏻‍♂	cyklista, cyklista: světlý odstín pleti, cyklistika, kolo, muž, světlý odstín pleti
🚴🏼‍♂	cyklista, cyklista: středně světlý odstín pleti, cyklistika, kolo, muž, středně světlý odstín pleti
🚴🏽‍♂	cyklista, cyklista: střední odstín pleti, cyklistika, kolo, muž, střední odstín pleti
🚴🏾‍♂	cyklista, cyklista: středně tmavý odstín pleti, cyklistika, kolo, muž, středně tmavý odstín pleti
🚴🏿‍♂	cyklista, cyklista: tmavý odstín pleti, cyklistika, kolo, muž, tmavý odstín pleti
🚴🏻‍♀	cyklistika, cyklistka, cyklistka: světlý odstín pleti, kolo, světlý odstín pleti, žena
🚴🏼‍♀	cyklistika, cyklistka, cyklistka: středně světlý odstín pleti, kolo, středně světlý odstín pleti, žena
🚴🏽‍♀	cyklistika, cyklistka, cyklistka: střední odstín pleti, kolo, střední odstín pleti, žena
🚴🏾‍♀	cyklistika, cyklistka, cyklistka: středně tmavý odstín pleti, kolo, středně tmavý odstín pleti, žena
🚴🏿‍♀	cyklistika, cyklistka, cyklistka: tmavý odstín pleti, kolo, tmavý odstín pleti, žena
🚵🏻	cyklista, cyklistika, hora, kolo, osoba na horském kole, osoba na horském kole: světlý odstín pleti, světlý odstín pleti
🚵🏼	cyklista, cyklistika, hora, kolo, osoba na horském kole, osoba na horském kole: středně světlý odstín pleti, středně světlý odstín pleti
🚵🏽	cyklista, cyklistika, hora, kolo, osoba na horském kole, osoba na horském kole: střední odstín pleti, střední odstín pleti
🚵🏾	cyklista, cyklistika, hora, kolo, osoba na horském kole, osoba na horském kole: středně tmavý odstín pleti, středně tmavý odstín pleti
🚵🏿	cyklista, cyklistika, hora, kolo, osoba na horském kole, osoba na horském kole: tmavý odstín pleti, tmavý odstín pleti
🚵🏻‍♂	cyklistika, hora, horský cyklista, horský cyklista: světlý odstín pleti, kolo, muž, světlý odstín pleti
🚵🏼‍♂	cyklistika, hora, horský cyklista, horský cyklista: středně světlý odstín pleti, kolo, muž, středně světlý odstín pleti
🚵🏽‍♂	cyklistika, hora, horský cyklista, horský cyklista: střední odstín pleti, kolo, muž, střední odstín pleti
🚵🏾‍♂	cyklistika, hora, horský cyklista, horský cyklista: středně tmavý odstín pleti, kolo, muž, středně tmavý odstín pleti
🚵🏿‍♂	cyklistika, hora, horský cyklista, horský cyklista: tmavý odstín pleti, kolo, muž, tmavý odstín pleti
🚵🏻‍♀	cyklistika, hora, horská cyklistka, horská cyklistka: světlý odstín pleti, kolo, světlý odstín pleti, žena
🚵🏼‍♀	cyklistika, hora, horská cyklistka, horská cyklistka: středně světlý odstín pleti, kolo, středně světlý odstín pleti, žena
🚵🏽‍♀	cyklistika, hora, horská cyklistka, horská cyklistka: střední odstín pleti, kolo, střední odstín pleti, žena
🚵🏾‍♀	cyklistika, hora, horská cyklistka, horská cyklistka: středně tmavý odstín pleti, kolo, středně tmavý odstín pleti, žena
🚵🏿‍♀	cyklistika, hora, horská cyklistka, horská cyklistka: tmavý odstín pleti, kolo, tmavý odstín pleti, žena
🤸🏻	gymnastika, hvězda, osoba dělající přemet stranou, osoba dělající přemet stranou: světlý odstín pleti, sport, světlý odstín pleti, člověk
🤸🏼	gymnastika, hvězda, osoba dělající přemet stranou, osoba dělající přemet stranou: středně světlý odstín pleti, sport, středně světlý odstín pleti, člověk
🤸🏽	gymnastika, hvězda, osoba dělající přemet stranou, osoba dělající přemet stranou: střední odstín pleti, sport, střední odstín pleti, člověk
🤸🏾	gymnastika, hvězda, osoba dělající přemet stranou, osoba dělající přemet stranou: středně tmavý odstín pleti, sport, středně tmavý odstín pleti, člověk
🤸🏿	gymnastika, hvězda, osoba dělající přemet stranou, osoba dělající přemet stranou: tmavý odstín pleti, sport, tmavý odstín pleti, člověk
🤸🏻‍♂	gymnastika, hvězda, muž, muž dělající přemet stranou, muž dělající přemet stranou: světlý odstín pleti, sport, světlý odstín pleti
🤸🏼‍♂	gymnastika, hvězda, muž, muž dělající přemet stranou, muž dělající přemet stranou: středně světlý odstín pleti, sport, středně světlý odstín pleti
🤸🏽‍♂	gymnastika, hvězda, muž, muž dělající přemet stranou, muž dělající přemet stranou: střední odstín pleti, sport, střední odstín pleti
🤸🏾‍♂	gymnastika, hvězda, muž, muž dělající přemet stranou, muž dělající přemet stranou: středně tmavý odstín pleti, sport, středně tmavý odstín pleti
🤸🏿‍♂	gymnastika, hvězda, muž, muž dělající přemet stranou, muž dělající přemet stranou: tmavý odstín pleti, sport, tmavý odstín pleti
🤸🏻‍♀	gymnastika, hvězda, sport, světlý odstín pleti, žena, žena dělající přemet stranou, žena dělající přemet stranou: světlý odstín pleti
🤸🏼‍♀	gymnastika, hvězda, sport, středně světlý odstín pleti, žena, žena dělající přemet stranou, žena dělající přemet stranou: středně světlý odstín pleti
🤸🏽‍♀	gymnastika, hvězda, sport, střední odstín pleti, žena, žena dělající přemet stranou, žena dělající přemet stranou: střední odstín pleti
🤸🏾‍♀	gymnastika, hvězda, sport, středně tmavý odstín pleti, žena, žena dělající přemet stranou, žena dělající přemet stranou: středně tmavý odstín pleti
🤸🏿‍♀	gymnastika, hvězda, sport, tmavý odstín pleti, žena, žena dělající přemet stranou, žena dělající přemet stranou: tmavý odstín pleti
🤽🏻	osoba hrající vodní pólo, osoba hrající vodní pólo: světlý odstín pleti, pólo, sport, světlý odstín pleti, voda, člověk
🤽🏼	osoba hrající vodní pólo, osoba hrající vodní pólo: středně světlý odstín pleti, pólo, sport, středně světlý odstín pleti, voda, člověk
🤽🏽	osoba hrající vodní pólo, osoba hrající vodní pólo: střední odstín pleti, pólo, sport, střední odstín pleti, voda, člověk
🤽🏾	osoba hrající vodní pólo, osoba hrající vodní pólo: středně tmavý odstín pleti, pólo, sport, středně tmavý odstín pleti, voda, člověk
🤽🏿	osoba hrající vodní pólo, osoba hrající vodní pólo: tmavý odstín pleti, pólo, sport, tmavý odstín pleti, voda, člověk
🤽🏻‍♂	hráč vodního póla, hráč vodního póla: světlý odstín pleti, muž, pólo, sport, světlý odstín pleti, voda
🤽🏼‍♂	hráč vodního póla, hráč vodního póla: středně světlý odstín pleti, muž, pólo, sport, středně světlý odstín pleti, voda
🤽🏽‍♂	hráč vodního póla, hráč vodního póla: střední odstín pleti, muž, pólo, sport, střední odstín pleti, voda
🤽🏾‍♂	hráč vodního póla, hráč vodního póla: středně tmavý odstín pleti, muž, pólo, sport, středně tmavý odstín pleti, voda
🤽🏿‍♂	hráč vodního póla, hráč vodního póla: tmavý odstín pleti, muž, pólo, sport, tmavý odstín pleti, voda
🤽🏻‍♀	hráčka vodního póla, hráčka vodního póla: světlý odstín pleti, pólo, sport, světlý odstín pleti, voda, žena
🤽🏼‍♀	hráčka vodního póla, hráčka vodního póla: středně světlý odstín pleti, pólo, sport, středně světlý odstín pleti, voda, žena
🤽🏽‍♀	hráčka vodního póla, hráčka vodního póla: střední odstín pleti, pólo, sport, střední odstín pleti, voda, žena
🤽🏾‍♀	hráčka vodního póla, hráčka vodního póla: středně tmavý odstín pleti, pólo, sport, středně tmavý odstín pleti, voda, žena
🤽🏿‍♀	hráčka vodního póla, hráčka vodního póla: tmavý odstín pleti, pólo, sport, tmavý odstín pleti, voda, žena
🤾🏻	házená, míč, osoba hrající házenou, osoba hrající házenou: světlý odstín pleti, sport, světlý odstín pleti, člověk
🤾🏼	házená, míč, osoba hrající házenou, osoba hrající házenou: středně světlý odstín pleti, sport, středně světlý odstín pleti, člověk
🤾🏽	házená, míč, osoba hrající házenou, osoba hrající házenou: střední odstín pleti, sport, střední odstín pleti, člověk
🤾🏾	házená, míč, osoba hrající házenou, osoba hrající házenou: středně tmavý odstín pleti, sport, středně tmavý odstín pleti, člověk
🤾🏿	házená, míč, osoba hrající házenou, osoba hrající házenou: tmavý odstín pleti, sport, tmavý odstín pleti, člověk
🤾🏻‍♂	házenkář, házenkář: světlý odstín pleti, házená, muž, míč, sport, světlý odstín pleti
🤾🏼‍♂	házenkář, házenkář: středně světlý odstín pleti, házená, muž, míč, sport, středně světlý odstín pleti
🤾🏽‍♂	házenkář, házenkář: střední odstín pleti, házená, muž, míč, sport, střední odstín pleti
🤾🏾‍♂	házenkář, házenkář: středně tmavý odstín pleti, házená, muž, míč, sport, středně tmavý odstín pleti
🤾🏿‍♂	házenkář, házenkář: tmavý odstín pleti, házená, muž, míč, sport, tmavý odstín pleti
🤾🏻‍♀	házenkářka, házenkářka: světlý odstín pleti, házená, míč, sport, světlý odstín pleti, žena
🤾🏼‍♀	házenkářka, házenkářka: středně světlý odstín pleti, házená, míč, sport, středně světlý odstín pleti, žena
🤾🏽‍♀	házenkářka, házenkářka: střední odstín pleti, házená, míč, sport, střední odstín pleti, žena
🤾🏾‍♀	házenkářka, házenkářka: středně tmavý odstín pleti, házená, míč, sport, středně tmavý odstín pleti, žena
🤾🏿‍♀	házenkářka, házenkářka: tmavý odstín pleti, házená, míč, sport, tmavý odstín pleti, žena
🤹🏻	multitasking, rovnováha, světlý odstín pleti, šikovnost, žonglování, žonglující osoba, žonglující osoba: světlý odstín pleti
🤹🏼	multitasking, rovnováha, středně světlý odstín pleti, šikovnost, žonglování, žonglující osoba, žonglující osoba: středně světlý odstín pleti
🤹🏽	multitasking, rovnováha, střední odstín pleti, šikovnost, žonglování, žonglující osoba, žonglující osoba: střední odstín pleti
🤹🏾	multitasking, rovnováha, středně tmavý odstín pleti, šikovnost, žonglování, žonglující osoba, žonglující osoba: středně tmavý odstín pleti
🤹🏿	multitasking, rovnováha, tmavý odstín pleti, šikovnost, žonglování, žonglující osoba, žonglující osoba: tmavý odstín pleti
🤹🏻‍♂	multitasking, muž, rovnováha, světlý odstín pleti, šikovnost, žonglování, žonglér, žonglér: světlý odstín pleti
🤹🏼‍♂	multitasking, muž, rovnováha, středně světlý odstín pleti, šikovnost, žonglování, žonglér, žonglér: středně světlý odstín pleti
🤹🏽‍♂	multitasking, muž, rovnováha, střední odstín pleti, šikovnost, žonglování, žonglér, žonglér: střední odstín pleti
🤹🏾‍♂	multitasking, muž, rovnováha, středně tmavý odstín pleti, šikovnost, žonglování, žonglér, žonglér: středně tmavý odstín pleti
🤹🏿‍♂	multitasking, muž, rovnováha, tmavý odstín pleti, šikovnost, žonglování, žonglér, žonglér: tmavý odstín pleti
🤹🏻‍♀	multitasking, rovnováha, světlý odstín pleti, šikovnost, žena, žonglování, žonglérka, žonglérka: světlý odstín pleti
🤹🏼‍♀	multitasking, rovnováha, středně světlý odstín pleti, šikovnost, žena, žonglování, žonglérka, žonglérka: středně světlý odstín pleti
🤹🏽‍♀	multitasking, rovnováha, střední odstín pleti, šikovnost, žena, žonglování, žonglérka, žonglérka: střední odstín pleti
🤹🏾‍♀	multitasking, rovnováha, středně tmavý odstín pleti, šikovnost, žena, žonglování, žonglérka, žonglérka: středně tmavý odstín pleti
🤹🏿‍♀	multitasking, rovnováha, tmavý odstín pleti, šikovnost, žena, žonglování, žonglérka, žonglérka: tmavý odstín pleti
👩‍❤‍💋‍👨	dvojice, líbání, muž, polibek, polibek: žena, muž, pár, romance, romantika, žena
👨‍❤‍💋‍👨	dvojice, líbání, muž, polibek, polibek: muž, muž, pár, romance, romantika
👩‍❤‍💋‍👩	dvojice, líbání, polibek, polibek: žena, žena, pár, romance, romantika, žena
👩‍❤‍👨	dvojice, láska, muž, pár, pár se srdcem, pár se srdcem: žena, muž, romance, romantika, srdce, žena
👨‍❤‍👨	dvojice, láska, muž, pár, pár se srdcem, pár se srdcem: muž, muž, romance, romantika, srdce
👩‍❤‍👩	dvojice, láska, pár, pár se srdcem, pár se srdcem: žena, žena, romance, romantika, srdce, žena
👨‍👩‍👦	chlapec, dítě, matka, muž, otec, rodina, rodina: muž, žena a chlapec, žena
👨‍👩‍👧	dítě, dívka, matka, muž, otec, rodina, rodina: muž, žena a dívka, žena
👨‍👩‍👧‍👦	chlapec, dítě, dívka, matka, muž, otec, rodina, rodina: muž, žena, dívka a chlapec, žena
👨‍👩‍👦‍👦	chlapec, dítě, matka, muž, otec, rodina, rodina: muž, žena, chlapec a chlapec, žena
👨‍👩‍👧‍👧	dítě, dívka, matka, muž, otec, rodina, rodina: muž, žena, dívka a dívka, žena
👨‍👨‍👦	chlapec, dítě, matka, muž, otec, rodina, rodina: muž, muž a chlapec
👨‍👨‍👧	dítě, dívka, matka, muž, otec, rodina, rodina: muž, muž a dívka
👨‍👨‍👧‍👦	chlapec, dítě, dívka, matka, muž, otec, rodina, rodina: muž, muž, dívka a chlapec
👨‍👨‍👦‍👦	chlapec, dítě, matka, muž, otec, rodina, rodina: muž, muž, chlapec a chlapec
👨‍👨‍👧‍👧	dítě, dívka, matka, muž, otec, rodina, rodina: muž, muž, dívka a dívka
👩‍👩‍👦	chlapec, dítě, matka, otec, rodina, rodina: žena, žena a chlapec, žena
👩‍👩‍👧	dítě, dívka, matka, otec, rodina, rodina: žena, žena a dívka, žena
👩‍👩‍👧‍👦	chlapec, dítě, dívka, matka, otec, rodina, rodina: žena, žena, dívka a chlapec, žena
👩‍👩‍👦‍👦	chlapec, dítě, matka, otec, rodina, rodina: žena, žena, chlapec a chlapec, žena
👩‍👩‍👧‍👧	dítě, dívka, matka, otec, rodina, rodina: žena, žena, dívka a dívka, žena
👨‍👦	chlapec, dítě, matka, muž, otec, rodina, rodina: muž, chlapec
👨‍👦‍👦	chlapec, dítě, matka, muž, otec, rodina, rodina: muž, chlapec a chlapec
👨‍👧	dítě, dívka, matka, muž, otec, rodina, rodina: muž, dívka
👨‍👧‍👦	chlapec, dítě, dívka, matka, muž, otec, rodina, rodina: muž, dívka a chlapec
👨‍👧‍👧	dítě, dívka, matka, muž, otec, rodina, rodina: muž, dívka a dívka
👩‍👦	chlapec, dítě, matka, otec, rodina, rodina: žena, chlapec, žena
👩‍👦‍👦	chlapec, dítě, matka, otec, rodina, rodina: žena, chlapec a chlapec, žena
👩‍👧	dítě, dívka, matka, otec, rodina, rodina: žena, dívka, žena
👩‍👧‍👦	chlapec, dítě, dívka, matka, otec, rodina, rodina: žena, dívka a chlapec, žena
👩‍👧‍👧	dítě, dívka, matka, otec, rodina, rodina: žena, dívka a dívka, žena
🤳🏻	fotoaparát, selfie, selfie: světlý odstín pleti, selfíčko, světlý odstín pleti, telefon
🤳🏼	fotoaparát, selfie, selfie: středně světlý odstín pleti, selfíčko, středně světlý odstín pleti, telefon
🤳🏽	fotoaparát, selfie, selfie: střední odstín pleti, selfíčko, střední odstín pleti, telefon
🤳🏾	fotoaparát, selfie, selfie: středně tmavý odstín pleti, selfíčko, středně tmavý odstín pleti, telefon
🤳🏿	fotoaparát, selfie, selfie: tmavý odstín pleti, selfíčko, telefon, tmavý odstín pleti
💪🏻	biceps, obrázek, sval, svaly, světlý odstín pleti, síla, tělo, zatnutý biceps, zatnutý biceps: světlý odstín pleti
💪🏼	biceps, obrázek, středně světlý odstín pleti, sval, svaly, síla, tělo, zatnutý biceps, zatnutý biceps: středně světlý odstín pleti
💪🏽	biceps, obrázek, střední odstín pleti, sval, svaly, síla, tělo, zatnutý biceps, zatnutý biceps: střední odstín pleti
💪🏾	biceps, obrázek, středně tmavý odstín pleti, sval, svaly, síla, tělo, zatnutý biceps, zatnutý biceps: středně tmavý odstín pleti
💪🏿	biceps, obrázek, sval, svaly, síla, tmavý odstín pleti, tělo, zatnutý biceps, zatnutý biceps: tmavý odstín pleti
👈🏻	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
👈🏼	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
👈🏽	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
👈🏾	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
👈🏿	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vlevo, ruka s prstem ukazujícím vlevo: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
👉🏻	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
👉🏼	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
👉🏽	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
👉🏾	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
👉🏿	hřbet ruky, prst, ruka, ruka s prstem ukazujícím vpravo, ruka s prstem ukazujícím vpravo: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
☝🏻	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
☝🏼	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
☝🏽	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
☝🏾	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
☝🏿	nahoru, prst, ruka, ruka ukazující nahoru, ruka ukazující nahoru: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
👆🏻	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
👆🏼	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
👆🏽	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
👆🏾	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
👆🏿	hřbet ruky, nahoru, prst, ruka, ruka s prstem ukazujícím nahoru, ruka s prstem ukazujícím nahoru: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
🖕🏻	prostředníček, prostředníček: světlý odstín pleti, prst, ruka, světlý odstín pleti, tělo
🖕🏼	prostředníček, prostředníček: středně světlý odstín pleti, prst, ruka, středně světlý odstín pleti, tělo
🖕🏽	prostředníček, prostředníček: střední odstín pleti, prst, ruka, střední odstín pleti, tělo
🖕🏾	prostředníček, prostředníček: středně tmavý odstín pleti, prst, ruka, středně tmavý odstín pleti, tělo
🖕🏿	prostředníček, prostředníček: tmavý odstín pleti, prst, ruka, tmavý odstín pleti, tělo
👇🏻	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: světlý odstín pleti, světlý odstín pleti, tělo, ukazovat, ukazováček
👇🏼	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: středně světlý odstín pleti, středně světlý odstín pleti, tělo, ukazovat, ukazováček
👇🏽	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: střední odstín pleti, střední odstín pleti, tělo, ukazovat, ukazováček
👇🏾	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo, ukazovat, ukazováček
👇🏿	dolů, hřbet ruky, prst, ruka, ruka s prstem ukazujícím dolů, ruka s prstem ukazujícím dolů: tmavý odstín pleti, tmavý odstín pleti, tělo, ukazovat, ukazováček
✌🏻	gesto vítězství, gesto vítězství: světlý odstín pleti, ruka, světlý odstín pleti, tělo, v, vítězství
✌🏼	gesto vítězství, gesto vítězství: středně světlý odstín pleti, ruka, středně světlý odstín pleti, tělo, v, vítězství
✌🏽	gesto vítězství, gesto vítězství: střední odstín pleti, ruka, střední odstín pleti, tělo, v, vítězství
✌🏾	gesto vítězství, gesto vítězství: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, tělo, v, vítězství
✌🏿	gesto vítězství, gesto vítězství: tmavý odstín pleti, ruka, tmavý odstín pleti, tělo, v, vítězství
🤞🏻	prsty, ruka, světlý odstín pleti, zkřížené prsty, zkřížené prsty: světlý odstín pleti, zkřížit, štěstí
🤞🏼	prsty, ruka, středně světlý odstín pleti, zkřížené prsty, zkřížené prsty: středně světlý odstín pleti, zkřížit, štěstí
🤞🏽	prsty, ruka, střední odstín pleti, zkřížené prsty, zkřížené prsty: střední odstín pleti, zkřížit, štěstí
🤞🏾	prsty, ruka, středně tmavý odstín pleti, zkřížené prsty, zkřížené prsty: středně tmavý odstín pleti, zkřížit, štěstí
🤞🏿	prsty, ruka, tmavý odstín pleti, zkřížené prsty, zkřížené prsty: tmavý odstín pleti, zkřížit, štěstí
🖖🏻	prst, ruka, spock, světlý odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: světlý odstín pleti
🖖🏼	prst, ruka, spock, středně světlý odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: středně světlý odstín pleti
🖖🏽	prst, ruka, spock, střední odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: střední odstín pleti
🖖🏾	prst, ruka, spock, středně tmavý odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: středně tmavý odstín pleti
🖖🏿	prst, ruka, spock, tmavý odstín pleti, tělo, vulkán, vulkánský pozdrav, vulkánský pozdrav: tmavý odstín pleti
🤘🏻	gesto parohů, gesto parohů: světlý odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, světlý odstín pleti, tělo
🤘🏼	gesto parohů, gesto parohů: středně světlý odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, středně světlý odstín pleti, tělo
🤘🏽	gesto parohů, gesto parohů: střední odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, střední odstín pleti, tělo
🤘🏾	gesto parohů, gesto parohů: středně tmavý odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, středně tmavý odstín pleti, tělo
🤘🏿	gesto parohů, gesto parohů: tmavý odstín pleti, parohy, paroháč, prst, rock, rohy, ruka, tmavý odstín pleti, tělo
🤙🏻	gesto „zavolej mi“, gesto „zavolej mi“: světlý odstín pleti, ruka, světlý odstín pleti, zatelefonovat, zavolat, zavolej
🤙🏼	gesto „zavolej mi“, gesto „zavolej mi“: středně světlý odstín pleti, ruka, středně světlý odstín pleti, zatelefonovat, zavolat, zavolej
🤙🏽	gesto „zavolej mi“, gesto „zavolej mi“: střední odstín pleti, ruka, střední odstín pleti, zatelefonovat, zavolat, zavolej
🤙🏾	gesto „zavolej mi“, gesto „zavolej mi“: středně tmavý odstín pleti, ruka, středně tmavý odstín pleti, zatelefonovat, zavolat, zavolej
🤙🏿	gesto „zavolej mi“, gesto „zavolej mi“: tmavý odstín pleti, ruka, tmavý odstín pleti, zatelefonovat, zavolat, zavolej
🖐🏻	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: světlý odstín pleti, světlý odstín pleti, tělo
🖐🏼	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: středně světlý odstín pleti, středně světlý odstín pleti, tělo
🖐🏽	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: střední odstín pleti, střední odstín pleti, tělo
🖐🏾	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: středně tmavý odstín pleti, středně tmavý odstín pleti, tělo
🖐🏿	prst, roztažené, ruka, ruka s roztaženými prsty, ruka s roztaženými prsty: tmavý odstín pleti, tmavý odstín pleti, tělo
✋🏻	ruka, světlý odstín pleti, tělo, zvednutá ruka, zvednutá ruka: světlý odstín pleti
