‾	надцрта
👩🏽‍❤‍👩🏼	жена, ни светла ни тамна кожа, пaр, пар са срцем, пар са срцем: жена, жена, ни светла ни тамна кожа и средње светла кожа, средње светла кожа, љубaв
👩🏽‍❤‍👩🏽	жена, ни светла ни тамна кожа, пaр, пар са срцем, пар са срцем: жена, жена и ни светла ни тамна кожа, љубaв
👩🏽‍❤‍👩🏾	жена, ни светла ни тамна кожа, пaр, пар са срцем, пар са срцем: жена, жена, ни светла ни тамна кожа и средње тамна кожа, средње тамна кожа, љубaв
👩🏽‍❤‍👩🏿	жена, ни светла ни тамна кожа, пaр, пар са срцем, пар са срцем: жена, жена, ни светла ни тамна кожа и тамна кожа, тамна кожа, љубaв
👩🏾‍❤‍👩🏻	жена, пaр, пар са срцем, пар са срцем: жена, жена, средње тамна кожа и светла кожа, светла кожа, средње тамна кожа, љубaв
👩🏾‍❤‍👩🏼	жена, пaр, пар са срцем, пар са срцем: жена, жена, средње тамна кожа и средње светла кожа, средње светла кожа, средње тамна кожа, љубaв
👩🏾‍❤‍👩🏽	жена, ни светла ни тамна кожа, пaр, пар са срцем, пар са срцем: жена, жена, средње тамна кожа и ни светла ни тамна кожа, средње тамна кожа, љубaв
👩🏾‍❤‍👩🏾	жена, пaр, пар са срцем, пар са срцем: жена, жена и средње тамна кожа, средње тамна кожа, љубaв
👩🏾‍❤‍👩🏿	жена, пaр, пар са срцем, пар са срцем: жена, жена, средње тамна кожа и тамна кожа, средње тамна кожа, тамна кожа, љубaв
👩🏿‍❤‍👩🏻	жена, пaр, пар са срцем, пар са срцем: жена, жена, тамна кожа и светла кожа, светла кожа, тамна кожа, љубaв
👩🏿‍❤‍👩🏼	жена, пaр, пар са срцем, пар са срцем: жена, жена, тамна кожа и средње светла кожа, средње светла кожа, тамна кожа, љубaв
👩🏿‍❤‍👩🏽	жена, ни светла ни тамна кожа, пaр, пар са срцем, пар са срцем: жена, жена, тамна кожа и ни светла ни тамна кожа, тамна кожа, љубaв
👩🏿‍❤‍👩🏾	жена, пaр, пар са срцем, пар са срцем: жена, жена, тамна кожа и средње тамна кожа, средње тамна кожа, тамна кожа, љубaв
👩🏿‍❤‍👩🏿	жена, пaр, пар са срцем, пар са срцем: жена, жена и тамна кожа, тамна кожа, љубaв
👩‍🦰	жeнa, жена, жена: црвена коса, црвена коса
👩🏻‍🦰	жeнa, жена, жена: светла кожа и црвена коса, светла кожа, црвена коса
👩🏼‍🦰	жeнa, жена, жена: средње светла кожа и црвена коса, средње светла кожа, црвена коса
👩🏽‍🦰	жeнa, жена, жена: ни светла ни тамна кожа и црвена коса, ни светла ни тамна кожа, црвена коса
👩🏾‍🦰	жeнa, жена, жена: средње тамна кожа и црвена коса, средње тамна кожа, црвена коса
👩🏿‍🦰	жeнa, жена, жена: тамна кожа и црвена коса, тамна кожа, црвена коса
👩‍🦱	жeнa, жена, жена: коврџава коса, коврџава коса
