😀	išsišiepti, išsišiepęs veidas, veidas
🙌🏽	4 odos tipas, gestas, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: 4 odos tipas
🙌🏾	5 odos tipas, gestas, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: 5 odos tipas
🙌🏿	6 odos tipas, gestas, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: 6 odos tipas
👐	atviros, atviros rankos, rankos
👐🏻	1 ir 2 odos tipai, atviros, atviros rankos: 1 ir 2 odos tipai, rankos
👐🏼	3 odos tipas, atviros, atviros rankos: 3 odos tipas, rankos
👐🏽	4 odos tipas, atviros, atviros rankos: 4 odos tipas, rankos
👐🏾	5 odos tipas, atviros, atviros rankos: 5 odos tipas, rankos
👐🏿	6 odos tipas, atviros, atviros rankos: 6 odos tipas, rankos
🤲	delnai suglausti, malda
🤲🏻	1 ir 2 odos tipai, delnai suglausti, delnai suglausti: 1 ir 2 odos tipai, malda
🤲🏼	3 odos tipas, delnai suglausti, delnai suglausti: 3 odos tipas, malda
🤲🏽	4 odos tipas, delnai suglausti, delnai suglausti: 4 odos tipas, malda
🤲🏾	5 odos tipas, delnai suglausti, delnai suglausti: 5 odos tipas, malda
🤲🏿	6 odos tipas, delnai suglausti, delnai suglausti: 6 odos tipas, malda
🤝	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, susitarimas
🙏	melstis, prašymas, ranka, suglausti delnai
🙏🏻	1 ir 2 odos tipai, melstis, prašymas, ranka, suglausti delnai, suglausti delnai: 1 ir 2 odos tipai
🙏🏼	3 odos tipas, melstis, prašymas, ranka, suglausti delnai, suglausti delnai: 3 odos tipas
🙏🏽	4 odos tipas, melstis, prašymas, ranka, suglausti delnai, suglausti delnai: 4 odos tipas
🙏🏾	5 odos tipas, melstis, prašymas, ranka, suglausti delnai, suglausti delnai: 5 odos tipas
🙏🏿	6 odos tipas, melstis, prašymas, ranka, suglausti delnai, suglausti delnai: 6 odos tipas
✍️	ranka, rašanti ranka, rašyti
✍🏻	1 ir 2 odos tipai, ranka, rašanti ranka, rašanti ranka: 1 ir 2 odos tipai, rašyti
✍🏼	3 odos tipas, ranka, rašanti ranka, rašanti ranka: 3 odos tipas, rašyti
✍🏽	4 odos tipas, ranka, rašanti ranka, rašanti ranka: 4 odos tipas, rašyti
✍🏾	5 odos tipas, ranka, rašanti ranka, rašanti ranka: 5 odos tipas, rašyti
✍🏿	6 odos tipas, ranka, rašanti ranka, rašanti ranka: 6 odos tipas, rašyti
💅	kosmetika, lakas, manikiūras, nagų lakas, priežiūra
💅🏻	1 ir 2 odos tipai, kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: 1 ir 2 odos tipai, priežiūra
💅🏼	3 odos tipas, kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: 3 odos tipas, priežiūra
💅🏽	4 odos tipas, kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: 4 odos tipas, priežiūra
💅🏾	5 odos tipas, kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: 5 odos tipas, priežiūra
💅🏿	6 odos tipas, kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: 6 odos tipas, priežiūra
🤳	asmenukė, fotoaparatas, telefonas
🤳🏻	1 ir 2 odos tipai, asmenukė, asmenukė: 1 ir 2 odos tipai, fotoaparatas, telefonas
🤳🏼	3 odos tipas, asmenukė, asmenukė: 3 odos tipas, fotoaparatas, telefonas
🤳🏽	4 odos tipas, asmenukė, asmenukė: 4 odos tipas, fotoaparatas, telefonas
🤳🏾	5 odos tipas, asmenukė, asmenukė: 5 odos tipas, fotoaparatas, telefonas
🤳🏿	6 odos tipas, asmenukė, asmenukė: 6 odos tipas, fotoaparatas, telefonas
💪	bicepsai, komiksas, kūnas, paryškinti bicepsai, raumuo
💪🏻	1 ir 2 odos tipai, bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: 1 ir 2 odos tipai, raumuo
💪🏼	3 odos tipas, bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: 3 odos tipas, raumuo
💪🏽	4 odos tipas, bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: 4 odos tipas, raumuo
💪🏾	5 odos tipas, bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: 5 odos tipas, raumuo
💪🏿	6 odos tipas, bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: 6 odos tipas, raumuo
🦵	galūnė, koja, spyris
🦵🏻	1 ir 2 odos tipai, galūnė, koja, koja: 1 ir 2 odos tipai, spyris
🦵🏼	3 odos tipas, galūnė, koja, koja: 3 odos tipas, spyris
🦵🏽	4 odos tipas, galūnė, koja, koja: 4 odos tipas, spyris
🦵🏾	5 odos tipas, galūnė, koja, koja: 5 odos tipas, spyris
🦵🏿	6 odos tipas, galūnė, koja, koja: 6 odos tipas, spyris
🦶	pėda, spyris, trepsėti
🦶🏻	1 ir 2 odos tipai, pėda, pėda: 1 ir 2 odos tipai, spyris, trepsėti
🦶🏼	3 odos tipas, pėda, pėda: 3 odos tipas, spyris, trepsėti
🦶🏽	4 odos tipas, pėda, pėda: 4 odos tipas, spyris, trepsėti
🦶🏾	5 odos tipas, pėda, pėda: 5 odos tipas, spyris, trepsėti
🦶🏿	6 odos tipas, pėda, pėda: 6 odos tipas, spyris, trepsėti
👂️	ausis, kūnas
👂🏻	1 ir 2 odos tipai, ausis, ausis: 1 ir 2 odos tipai, kūnas
👂🏼	3 odos tipas, ausis, ausis: 3 odos tipas, kūnas
👂🏽	4 odos tipas, ausis, ausis: 4 odos tipas, kūnas
👂🏾	5 odos tipas, ausis, ausis: 5 odos tipas, kūnas
👂🏿	6 odos tipas, ausis, ausis: 6 odos tipas, kūnas
👃	kūnas, nosis
👃🏻	1 ir 2 odos tipai, kūnas, nosis, nosis: 1 ir 2 odos tipai
👃🏼	3 odos tipas, kūnas, nosis, nosis: 3 odos tipas
👃🏽	4 odos tipas, kūnas, nosis, nosis: 4 odos tipas
👃🏾	5 odos tipas, kūnas, nosis, nosis: 5 odos tipas
👃🏿	6 odos tipas, kūnas, nosis, nosis: 6 odos tipas
🧠	protingas, smegenys
🦷	dantis, dantistas
🦴	kaulas, skeletas
👀	akis, akys, veidas
👁️	akis, kūnas
👅	kūnas, liežuvis
👄	burna, lūpos
👶	jaunas, kūdikis
👶🏻	1 ir 2 odos tipai, jaunas, kūdikis, kūdikis: 1 ir 2 odos tipai
👶🏼	3 odos tipas, jaunas, kūdikis, kūdikis: 3 odos tipas
👶🏽	4 odos tipas, jaunas, kūdikis, kūdikis: 4 odos tipas
👶🏾	5 odos tipas, jaunas, kūdikis, kūdikis: 5 odos tipas
👶🏿	6 odos tipas, jaunas, kūdikis, kūdikis: 6 odos tipas
🧒	jaunas, neutrali lytis, vaikas
🧒🏻	1 ir 2 odos tipai, jaunas, neutrali lytis, vaikas, vaikas: 1 ir 2 odos tipai
🧒🏼	3 odos tipas, jaunas, neutrali lytis, vaikas, vaikas: 3 odos tipas
🧒🏽	4 odos tipas, jaunas, neutrali lytis, vaikas, vaikas: 4 odos tipas
🧒🏾	5 odos tipas, jaunas, neutrali lytis, vaikas, vaikas: 5 odos tipas
🧒🏿	6 odos tipas, jaunas, neutrali lytis, vaikas, vaikas: 6 odos tipas
👦	berniukas, jaunas
👦🏻	1 ir 2 odos tipai, berniukas, berniukas: 1 ir 2 odos tipai, jaunas
👦🏼	3 odos tipas, berniukas, berniukas: 3 odos tipas, jaunas
👦🏽	4 odos tipas, berniukas, berniukas: 4 odos tipas, jaunas
👦🏾	5 odos tipas, berniukas, berniukas: 5 odos tipas, jaunas
👦🏿	6 odos tipas, berniukas, berniukas: 6 odos tipas, jaunas
👧	jauna, mergaitė, mergelė, zodiakas
👧🏻	1 ir 2 odos tipai, jauna, mergaitė, mergaitė: 1 ir 2 odos tipai, mergelė, zodiakas
👧🏼	3 odos tipas, jauna, mergaitė, mergaitė: 3 odos tipas, mergelė, zodiakas
👧🏽	4 odos tipas, jauna, mergaitė, mergaitė: 4 odos tipas, mergelė, zodiakas
👧🏾	5 odos tipas, jauna, mergaitė, mergaitė: 5 odos tipas, mergelė, zodiakas
👧🏿	6 odos tipas, jauna, mergaitė, mergaitė: 6 odos tipas, mergelė, zodiakas
🧑	neutrali lytis, suaugusysis
🧑🏻	1 ir 2 odos tipai, neutrali lytis, suaugusysis, suaugusysis: 1 ir 2 odos tipai
🧑🏼	3 odos tipas, neutrali lytis, suaugusysis, suaugusysis: 3 odos tipas
🧑🏽	4 odos tipas, neutrali lytis, suaugusysis, suaugusysis: 4 odos tipas
🧑🏾	5 odos tipas, neutrali lytis, suaugusysis, suaugusysis: 5 odos tipas
🧑🏿	6 odos tipas, neutrali lytis, suaugusysis, suaugusysis: 6 odos tipas
👱	šviesiaplaukis, šviesiaplaukis žmogus
👱🏻	1 ir 2 odos tipai, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: 1 ir 2 odos tipai
👱🏼	3 odos tipas, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: 3 odos tipas
👱🏽	4 odos tipas, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: 4 odos tipas
👱🏾	5 odos tipas, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: 5 odos tipas
👱🏿	6 odos tipas, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: 6 odos tipas
👨	vyras
👨🏻	1 ir 2 odos tipai, vyras, vyras: 1 ir 2 odos tipai
👨🏼	3 odos tipas, vyras, vyras: 3 odos tipas
👨🏽	4 odos tipas, vyras, vyras: 4 odos tipas
👨🏾	5 odos tipas, vyras, vyras: 5 odos tipas
👨🏿	6 odos tipas, vyras, vyras: 6 odos tipas
🧔	barzda, barzdotas žmogus
🧔🏻	1 ir 2 odos tipai, barzda, barzdotas žmogus, barzdotas žmogus: 1 ir 2 odos tipai
🧔🏼	3 odos tipas, barzda, barzdotas žmogus, barzdotas žmogus: 3 odos tipas
🧔🏽	4 odos tipas, barzda, barzdotas žmogus, barzdotas žmogus: 4 odos tipas
🧔🏾	5 odos tipas, barzda, barzdotas žmogus, barzdotas žmogus: 5 odos tipas
🧔🏿	6 odos tipas, barzda, barzdotas žmogus, barzdotas žmogus: 6 odos tipas
👱‍♂	blondinas, vyras
👱🏻‍♂	1 ir 2 odos tipai, blondinas, blondinas: 1 ir 2 odos tipai, vyras
👱🏼‍♂	3 odos tipas, blondinas, blondinas: 3 odos tipas, vyras
👱🏽‍♂	4 odos tipas, blondinas, blondinas: 4 odos tipas, vyras
👱🏾‍♂	5 odos tipas, blondinas, blondinas: 5 odos tipas, vyras
👱🏿‍♂	6 odos tipas, blondinas, blondinas: 6 odos tipas, vyras
👨‍🦰	raudoni plaukai, vyras, vyras: raudoni plaukai
👨🏻‍🦰	1 ir 2 odos tipai, raudoni plaukai, vyras, vyras: 1 ir 2 odos tipai raudoni plaukai
👨🏼‍🦰	3 odos tipas, raudoni plaukai, vyras, vyras: 3 odos tipas raudoni plaukai
👨🏽‍🦰	4 odos tipas, raudoni plaukai, vyras, vyras: 4 odos tipas raudoni plaukai
👨🏾‍🦰	5 odos tipas, raudoni plaukai, vyras, vyras: 5 odos tipas raudoni plaukai
👨🏿‍🦰	6 odos tipas, raudoni plaukai, vyras, vyras: 6 odos tipas raudoni plaukai
👨‍🦱	garbanoti plaukai, vyras, vyras: garbanoti plaukai
👨🏻‍🦱	1 ir 2 odos tipai, garbanoti plaukai, vyras, vyras: 1 ir 2 odos tipai garbanoti plaukai
👨🏼‍🦱	3 odos tipas, garbanoti plaukai, vyras, vyras: 3 odos tipas garbanoti plaukai
👨🏽‍🦱	4 odos tipas, garbanoti plaukai, vyras, vyras: 4 odos tipas garbanoti plaukai
👨🏾‍🦱	5 odos tipas, garbanoti plaukai, vyras, vyras: 5 odos tipas garbanoti plaukai
👨🏿‍🦱	6 odos tipas, garbanoti plaukai, vyras, vyras: 6 odos tipas garbanoti plaukai
👨‍🦳	vyras, vyras: žili plaukai, žili plaukai
👨🏻‍🦳	1 ir 2 odos tipai, vyras, vyras: 1 ir 2 odos tipai žili plaukai, žili plaukai
👨🏼‍🦳	3 odos tipas, vyras, vyras: 3 odos tipas žili plaukai, žili plaukai
👨🏽‍🦳	4 odos tipas, vyras, vyras: 4 odos tipas žili plaukai, žili plaukai
👨🏾‍🦳	5 odos tipas, vyras, vyras: 5 odos tipas žili plaukai, žili plaukai
👨🏿‍🦳	6 odos tipas, vyras, vyras: 6 odos tipas žili plaukai, žili plaukai
👨‍🦲	plikas, vyras, vyras: plikas
👨🏻‍🦲	1 ir 2 odos tipai, plikas, vyras, vyras: 1 ir 2 odos tipai plikas
👨🏼‍🦲	3 odos tipas, plikas, vyras, vyras: 3 odos tipas plikas
👨🏽‍🦲	4 odos tipas, plikas, vyras, vyras: 4 odos tipas plikas
👨🏾‍🦲	5 odos tipas, plikas, vyras, vyras: 5 odos tipas plikas
👨🏿‍🦲	6 odos tipas, plikas, vyras, vyras: 6 odos tipas plikas
👩	moteris
👩🏻	1 ir 2 odos tipai, moteris, moteris: 1 ir 2 odos tipai
👩🏼	3 odos tipas, moteris, moteris: 3 odos tipas
👩🏽	4 odos tipas, moteris, moteris: 4 odos tipas
👩🏾	5 odos tipas, moteris, moteris: 5 odos tipas
👩🏿	6 odos tipas, moteris, moteris: 6 odos tipas
👱‍♀	blondinė, moteris
👱🏻‍♀	1 ir 2 odos tipai, blondinė, blondinė: 1 ir 2 odos tipai, moteris
👱🏼‍♀	3 odos tipas, blondinė, blondinė: 3 odos tipas, moteris
👱🏽‍♀	4 odos tipas, blondinė, blondinė: 4 odos tipas, moteris
👱🏾‍♀	5 odos tipas, blondinė, blondinė: 5 odos tipas, moteris
👱🏿‍♀	6 odos tipas, blondinė, blondinė: 6 odos tipas, moteris
👩‍🦰	moteris, moteris: raudoni plaukai, raudoni plaukai
👩🏻‍🦰	1 ir 2 odos tipai, moteris, moteris: 1 ir 2 odos tipai raudoni plaukai, raudoni plaukai
👩🏼‍🦰	3 odos tipas, moteris, moteris: 3 odos tipas raudoni plaukai, raudoni plaukai
👩🏽‍🦰	4 odos tipas, moteris, moteris: 4 odos tipas raudoni plaukai, raudoni plaukai
👩🏾‍🦰	5 odos tipas, moteris, moteris: 5 odos tipas raudoni plaukai, raudoni plaukai
👩🏿‍🦰	6 odos tipas, moteris, moteris: 6 odos tipas raudoni plaukai, raudoni plaukai
👩‍🦱	garbanoti plaukai, moteris, moteris: garbanoti plaukai
👩🏻‍🦱	1 ir 2 odos tipai, garbanoti plaukai, moteris, moteris: 1 ir 2 odos tipai garbanoti plaukai
👩🏼‍🦱	3 odos tipas, garbanoti plaukai, moteris, moteris: 3 odos tipas garbanoti plaukai
👩🏽‍🦱	4 odos tipas, garbanoti plaukai, moteris, moteris: 4 odos tipas garbanoti plaukai
👩🏾‍🦱	5 odos tipas, garbanoti plaukai, moteris, moteris: 5 odos tipas garbanoti plaukai
👩🏿‍🦱	6 odos tipas, garbanoti plaukai, moteris, moteris: 6 odos tipas garbanoti plaukai
👩‍🦳	moteris, moteris: žili plaukai, žili plaukai
👩🏻‍🦳	1 ir 2 odos tipai, moteris, moteris: 1 ir 2 odos tipai žili plaukai, žili plaukai
👩🏼‍🦳	3 odos tipas, moteris, moteris: 3 odos tipas žili plaukai, žili plaukai
👩🏽‍🦳	4 odos tipas, moteris, moteris: 4 odos tipas žili plaukai, žili plaukai
👩🏾‍🦳	5 odos tipas, moteris, moteris: 5 odos tipas žili plaukai, žili plaukai
👩🏿‍🦳	6 odos tipas, moteris, moteris: 6 odos tipas žili plaukai, žili plaukai
👩‍🦲	moteris, moteris: plikas, plikas
👩🏻‍🦲	1 ir 2 odos tipai, moteris, moteris: 1 ir 2 odos tipai plikas, plikas
👩🏼‍🦲	3 odos tipas, moteris, moteris: 3 odos tipas plikas, plikas
👩🏽‍🦲	4 odos tipas, moteris, moteris: 4 odos tipas plikas, plikas
👩🏾‍🦲	5 odos tipas, moteris, moteris: 5 odos tipas plikas, plikas
👩🏿‍🦲	6 odos tipas, moteris, moteris: 6 odos tipas plikas, plikas
🧓	kitas suaugusysis, neutrali lytis, senas
🧓🏻	1 ir 2 odos tipai, kitas suaugusysis, kitas suaugusysis: 1 ir 2 odos tipai, neutrali lytis, senas
🧓🏼	3 odos tipas, kitas suaugusysis, kitas suaugusysis: 3 odos tipas, neutrali lytis, senas
🧓🏽	4 odos tipas, kitas suaugusysis, kitas suaugusysis: 4 odos tipas, neutrali lytis, senas
🧓🏾	5 odos tipas, kitas suaugusysis, kitas suaugusysis: 5 odos tipas, neutrali lytis, senas
🧓🏿	6 odos tipas, kitas suaugusysis, kitas suaugusysis: 6 odos tipas, neutrali lytis, senas
👴	senas, senas vyras, vyras
👴🏻	1 ir 2 odos tipai, senas, senas vyras: 1 ir 2 odos tipai, vyras
👴🏼	3 odos tipas, senas, senas vyras: 3 odos tipas, vyras
👴🏽	4 odos tipas, senas, senas vyras: 4 odos tipas, vyras
👴🏾	5 odos tipas, senas, senas vyras: 5 odos tipas, vyras
👴🏿	6 odos tipas, senas, senas vyras: 6 odos tipas, vyras
👵	moteris, sena, sena moteris
👵🏻	1 ir 2 odos tipai, moteris, sena, sena moteris: 1 ir 2 odos tipai
👵🏼	3 odos tipas, moteris, sena, sena moteris: 3 odos tipas
👵🏽	4 odos tipas, moteris, sena, sena moteris: 4 odos tipas
👵🏾	5 odos tipas, moteris, sena, sena moteris: 5 odos tipas
👵🏿	6 odos tipas, moteris, sena, sena moteris: 6 odos tipas
🙍	gestas, paniuręs žmogus, raukytis
🙍🏻	1 ir 2 odos tipai, gestas, paniuręs žmogus, paniuręs žmogus: 1 ir 2 odos tipai, raukytis
🙍🏼	3 odos tipas, gestas, paniuręs žmogus, paniuręs žmogus: 3 odos tipas, raukytis
🙍🏽	4 odos tipas, gestas, paniuręs žmogus, paniuręs žmogus: 4 odos tipas, raukytis
🙍🏾	5 odos tipas, gestas, paniuręs žmogus, paniuręs žmogus: 5 odos tipas, raukytis
🙍🏿	6 odos tipas, gestas, paniuręs žmogus, paniuręs žmogus: 6 odos tipas, raukytis
🙍‍♂	gestas, paniuręs, paniuręs vyras, vyras
🙍🏻‍♂	1 ir 2 odos tipai, gestas, paniuręs, paniuręs vyras: 1 ir 2 odos tipai, vyras
🙍🏼‍♂	3 odos tipas, gestas, paniuręs, paniuręs vyras: 3 odos tipas, vyras
🙍🏽‍♂	4 odos tipas, gestas, paniuręs, paniuręs vyras: 4 odos tipas, vyras
🙍🏾‍♂	5 odos tipas, gestas, paniuręs, paniuręs vyras: 5 odos tipas, vyras
🙍🏿‍♂	6 odos tipas, gestas, paniuręs, paniuręs vyras: 6 odos tipas, vyras
🙍‍♀	gestas, moteris, paniurusi, paniurusi moteris
🙍🏻‍♀	1 ir 2 odos tipai, gestas, moteris, paniurusi, paniurusi moteris: 1 ir 2 odos tipai
🙍🏼‍♀	3 odos tipas, gestas, moteris, paniurusi, paniurusi moteris: 3 odos tipas
🙍🏽‍♀	4 odos tipas, gestas, moteris, paniurusi, paniurusi moteris: 4 odos tipas
🙍🏾‍♀	5 odos tipas, gestas, moteris, paniurusi, paniurusi moteris: 5 odos tipas
🙍🏿‍♀	6 odos tipas, gestas, moteris, paniurusi, paniurusi moteris: 6 odos tipas
🙎	gestas, raukymasis, susiraukęs žmogus
🙎🏻	1 ir 2 odos tipai, gestas, raukymasis, susiraukęs žmogus, susiraukęs žmogus: 1 ir 2 odos tipai
🙎🏼	3 odos tipas, gestas, raukymasis, susiraukęs žmogus, susiraukęs žmogus: 3 odos tipas
🙎🏽	4 odos tipas, gestas, raukymasis, susiraukęs žmogus, susiraukęs žmogus: 4 odos tipas
🙎🏾	5 odos tipas, gestas, raukymasis, susiraukęs žmogus, susiraukęs žmogus: 5 odos tipas
🙎🏿	6 odos tipas, gestas, raukymasis, susiraukęs žmogus, susiraukęs žmogus: 6 odos tipas
🙎‍♂	gestas, susiraukęs, susiraukęs vyras, vyras
🙎🏻‍♂	1 ir 2 odos tipai, gestas, susiraukęs, susiraukęs vyras: 1 ir 2 odos tipai, vyras
🙎🏼‍♂	3 odos tipas, gestas, susiraukęs, susiraukęs vyras: 3 odos tipas, vyras
🙎🏽‍♂	4 odos tipas, gestas, susiraukęs, susiraukęs vyras: 4 odos tipas, vyras
🙎🏾‍♂	5 odos tipas, gestas, susiraukęs, susiraukęs vyras: 5 odos tipas, vyras
🙎🏿‍♂	6 odos tipas, gestas, susiraukęs, susiraukęs vyras: 6 odos tipas, vyras
🙎‍♀	gestas, moteris, susiraukusi, susiraukusi moteris
🙎🏻‍♀	1 ir 2 odos tipai, gestas, moteris, susiraukusi, susiraukusi moteris: 1 ir 2 odos tipai
🙎🏼‍♀	3 odos tipas, gestas, moteris, susiraukusi, susiraukusi moteris: 3 odos tipas
🙎🏽‍♀	4 odos tipas, gestas, moteris, susiraukusi, susiraukusi moteris: 4 odos tipas
🙎🏾‍♀	5 odos tipas, gestas, moteris, susiraukusi, susiraukusi moteris: 5 odos tipas
🙎🏿‍♀	6 odos tipas, gestas, moteris, susiraukusi, susiraukusi moteris: 6 odos tipas
🙅	draudžiama, gestas, ne, neigiamas gestas, ranka
🙅🏻	1 ir 2 odos tipai, draudžiama, gestas, ne, neigiamas gestas, neigiamas gestas: 1 ir 2 odos tipai, ranka
🙅🏼	3 odos tipas, draudžiama, gestas, ne, neigiamas gestas, neigiamas gestas: 3 odos tipas, ranka
🙅🏽	4 odos tipas, draudžiama, gestas, ne, neigiamas gestas, neigiamas gestas: 4 odos tipas, ranka
🙅🏾	5 odos tipas, draudžiama, gestas, ne, neigiamas gestas, neigiamas gestas: 5 odos tipas, ranka
🙅🏿	6 odos tipas, draudžiama, gestas, ne, neigiamas gestas, neigiamas gestas: 6 odos tipas, ranka
🙅‍♂	draudžiama, draudžiantis vyras, gestas, neleistina, vyras
🙅🏻‍♂	1 ir 2 odos tipai, draudžiama, draudžiantis vyras, draudžiantis vyras: 1 ir 2 odos tipai, gestas, neleistina, vyras
