😀	Gesiicht, Grinsen, Grinsgesiicht
👎🏻	-1, Daum, Daum no ënnen, Daum no ënnen: hell Hautfaarf, Hand, hell Hautfaarf, no ënnen
👎🏼	-1, Daum, Daum no ënnen, Daum no ënnen: mëttelhell Hautfaarf, Hand, mëttelhell Hautfaarf, no ënnen
👎🏽	-1, Daum, Daum no ënnen, Daum no ënnen: mëttel Hautfaarf, Hand, mëttel Hautfaarf, no ënnen
👎🏾	-1, Daum, Daum no ënnen, Daum no ënnen: mëtteldäischter Hautfaarf, Hand, mëtteldäischter Hautfaarf, no ënnen
👎🏿	-1, Daum, Daum no ënnen, Daum no ënnen: däischter Hautfaarf, Hand, däischter Hautfaarf, no ënnen
✊	Fauscht, Hand, boxen, héichgehale Fauscht, zouen
✊🏻	Fauscht, Hand, boxen, hell Hautfaarf, héichgehale Fauscht, héichgehale Fauscht: hell Hautfaarf, zouen
✊🏼	Fauscht, Hand, boxen, héichgehale Fauscht, héichgehale Fauscht: mëttelhell Hautfaarf, mëttelhell Hautfaarf, zouen
✊🏽	Fauscht, Hand, boxen, héichgehale Fauscht, héichgehale Fauscht: mëttel Hautfaarf, mëttel Hautfaarf, zouen
✊🏾	Fauscht, Hand, boxen, héichgehale Fauscht, héichgehale Fauscht: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, zouen
✊🏿	Fauscht, Hand, boxen, däischter Hautfaarf, héichgehale Fauscht, héichgehale Fauscht: däischter Hautfaarf, zouen
👊	Fauscht, Hand, boxen, entgéintkommend Fauscht, zouen
👊🏻	Fauscht, Hand, boxen, entgéintkommend Fauscht, entgéintkommend Fauscht: hell Hautfaarf, hell Hautfaarf, zouen
👊🏼	Fauscht, Hand, boxen, entgéintkommend Fauscht, entgéintkommend Fauscht: mëttelhell Hautfaarf, mëttelhell Hautfaarf, zouen
👊🏽	Fauscht, Hand, boxen, entgéintkommend Fauscht, entgéintkommend Fauscht: mëttel Hautfaarf, mëttel Hautfaarf, zouen
👊🏾	Fauscht, Hand, boxen, entgéintkommend Fauscht, entgéintkommend Fauscht: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, zouen
👊🏿	Fauscht, Hand, boxen, däischter Hautfaarf, entgéintkommend Fauscht, entgéintkommend Fauscht: däischter Hautfaarf, zouen
🤛	Fauscht, lénksgeriicht, lénksgeriicht Fauscht
🤛🏻	Fauscht, hell Hautfaarf, lénksgeriicht, lénksgeriicht Fauscht: hell Hautfaarf
🤛🏼	Fauscht, lénksgeriicht, lénksgeriicht Fauscht: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🤛🏽	Fauscht, lénksgeriicht, lénksgeriicht Fauscht: mëttel Hautfaarf, mëttel Hautfaarf
🤛🏾	Fauscht, lénksgeriicht, lénksgeriicht Fauscht: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🤛🏿	Fauscht, däischter Hautfaarf, lénksgeriicht, lénksgeriicht Fauscht: däischter Hautfaarf
🤜	Fauscht, rietsgeriicht, rietsgeriicht Fauscht
🤜🏻	Fauscht, hell Hautfaarf, rietsgeriicht, rietsgeriicht Fauscht: hell Hautfaarf
🤜🏼	Fauscht, mëttelhell Hautfaarf, rietsgeriicht, rietsgeriicht Fauscht: mëttelhell Hautfaarf
🤜🏽	Fauscht, mëttel Hautfaarf, rietsgeriicht, rietsgeriicht Fauscht: mëttel Hautfaarf
🤜🏾	Fauscht, mëtteldäischter Hautfaarf, rietsgeriicht, rietsgeriicht Fauscht: mëtteldäischter Hautfaarf
🤜🏿	Fauscht, däischter Hautfaarf, rietsgeriicht, rietsgeriicht Fauscht: däischter Hautfaarf
👏	Hand, klappen, klappend Hänn
👏🏻	Hand, hell Hautfaarf, klappen, klappend Hänn, klappend Hänn: hell Hautfaarf
👏🏼	Hand, klappen, klappend Hänn, klappend Hänn: mëttelhell Hautfaarf, mëttelhell Hautfaarf
👏🏽	Hand, klappen, klappend Hänn, klappend Hänn: mëttel Hautfaarf, mëttel Hautfaarf
👏🏾	Hand, klappen, klappend Hänn, klappend Hänn: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
👏🏿	Hand, däischter Hautfaarf, klappen, klappend Hänn, klappend Hänn: däischter Hautfaarf
🙌	Feier, Geste, Hand, Hänn an d’Luucht, an der Luucht, hurra
🙌🏻	Feier, Geste, Hand, Hänn an d’Luucht, Hänn an d’Luucht: hell Hautfaarf, an der Luucht, hell Hautfaarf, hurra
🙌🏼	Feier, Geste, Hand, Hänn an d’Luucht, Hänn an d’Luucht: mëttelhell Hautfaarf, an der Luucht, hurra, mëttelhell Hautfaarf
🙌🏽	Feier, Geste, Hand, Hänn an d’Luucht, Hänn an d’Luucht: mëttel Hautfaarf, an der Luucht, hurra, mëttel Hautfaarf
🙌🏾	Feier, Geste, Hand, Hänn an d’Luucht, Hänn an d’Luucht: mëtteldäischter Hautfaarf, an der Luucht, hurra, mëtteldäischter Hautfaarf
🙌🏿	Feier, Geste, Hand, Hänn an d’Luucht, Hänn an d’Luucht: däischter Hautfaarf, an der Luucht, däischter Hautfaarf, hurra
👐	Hand, oppen, oppen Hänn
👐🏻	Hand, hell Hautfaarf, oppen, oppen Hänn, oppen Hänn: hell Hautfaarf
👐🏼	Hand, mëttelhell Hautfaarf, oppen, oppen Hänn, oppen Hänn: mëttelhell Hautfaarf
👐🏽	Hand, mëttel Hautfaarf, oppen, oppen Hänn, oppen Hänn: mëttel Hautfaarf
👐🏾	Hand, mëtteldäischter Hautfaarf, oppen, oppen Hänn, oppen Hänn: mëtteldäischter Hautfaarf
👐🏿	Hand, däischter Hautfaarf, oppen, oppen Hänn, oppen Hänn: däischter Hautfaarf
🤲	Gebiet, zesummegefaalten Hänn
🤲🏻	Gebiet, hell Hautfaarf, zesummegefaalten Hänn, zesummegefaalten Hänn: hell Hautfaarf
🤲🏼	Gebiet, mëttelhell Hautfaarf, zesummegefaalten Hänn, zesummegefaalten Hänn: mëttelhell Hautfaarf
🤲🏽	Gebiet, mëttel Hautfaarf, zesummegefaalten Hänn, zesummegefaalten Hänn: mëttel Hautfaarf
🤲🏾	Gebiet, mëtteldäischter Hautfaarf, zesummegefaalten Hänn, zesummegefaalten Hänn: mëtteldäischter Hautfaarf
🤲🏿	Gebiet, däischter Hautfaarf, zesummegefaalten Hänn, zesummegefaalten Hänn: däischter Hautfaarf
🤝	Hand, Handdrock, Ofkommes, Reunioun, drécken
🤝🏻	Hand, Handdrock, Handdrock: hell Hautfaarf, Ofkommes, Reunioun, drécken, hell Hautfaarf
🤝🏼	Hand, Handdrock, Handdrock: mëttelhell Hautfaarf, Ofkommes, Reunioun, drécken, mëttelhell Hautfaarf
🤝🏽	Hand, Handdrock, Handdrock: mëttel Hautfaarf, Ofkommes, Reunioun, drécken, mëttel Hautfaarf
🤝🏾	Hand, Handdrock, Handdrock: mëtteldäischter Hautfaarf, Ofkommes, Reunioun, drécken, mëtteldäischter Hautfaarf
🤝🏿	Hand, Handdrock, Handdrock: däischter Hautfaarf, Ofkommes, Reunioun, drécken, däischter Hautfaarf
🙏	Geste, Hand, Merci, bieden, froen, gefaalt, gefaalten Hänn, vernäipen, wann ech gelift
🙏🏻	Geste, Hand, Merci, bieden, froen, gefaalt, gefaalten Hänn, gefaalten Hänn: hell Hautfaarf, hell Hautfaarf, vernäipen, wann ech gelift
🙏🏼	Geste, Hand, Merci, bieden, froen, gefaalt, gefaalten Hänn, gefaalten Hänn: mëttelhell Hautfaarf, mëttelhell Hautfaarf, vernäipen, wann ech gelift
🙏🏽	Geste, Hand, Merci, bieden, froen, gefaalt, gefaalten Hänn, gefaalten Hänn: mëttel Hautfaarf, mëttel Hautfaarf, vernäipen, wann ech gelift
🙏🏾	Geste, Hand, Merci, bieden, froen, gefaalt, gefaalten Hänn, gefaalten Hänn: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, vernäipen, wann ech gelift
🙏🏿	Geste, Hand, Merci, bieden, däischter Hautfaarf, froen, gefaalt, gefaalten Hänn, gefaalten Hänn: däischter Hautfaarf, vernäipen, wann ech gelift
✍️	Hand, schreiwen, schreiwend Hand
✍🏻	Hand, hell Hautfaarf, schreiwen, schreiwend Hand, schreiwend Hand: hell Hautfaarf
✍🏼	Hand, mëttelhell Hautfaarf, schreiwen, schreiwend Hand, schreiwend Hand: mëttelhell Hautfaarf
✍🏽	Hand, mëttel Hautfaarf, schreiwen, schreiwend Hand, schreiwend Hand: mëttel Hautfaarf
✍🏾	Hand, mëtteldäischter Hautfaarf, schreiwen, schreiwend Hand, schreiwend Hand: mëtteldäischter Hautfaarf
✍🏿	Hand, däischter Hautfaarf, schreiwen, schreiwend Hand, schreiwend Hand: däischter Hautfaarf
💅	Kosmetik, Lack, Manikür, Neel, Neellack, fleegen
💅🏻	Kosmetik, Lack, Manikür, Neel, Neellack, Neellack: hell Hautfaarf, fleegen, hell Hautfaarf
💅🏼	Kosmetik, Lack, Manikür, Neel, Neellack, Neellack: mëttelhell Hautfaarf, fleegen, mëttelhell Hautfaarf
💅🏽	Kosmetik, Lack, Manikür, Neel, Neellack, Neellack: mëttel Hautfaarf, fleegen, mëttel Hautfaarf
💅🏾	Kosmetik, Lack, Manikür, Neel, Neellack, Neellack: mëtteldäischter Hautfaarf, fleegen, mëtteldäischter Hautfaarf
💅🏿	Kosmetik, Lack, Manikür, Neel, Neellack, Neellack: däischter Hautfaarf, däischter Hautfaarf, fleegen
🤳	Handy, Kamera, Selfie
🤳🏻	Handy, Kamera, Selfie, Selfie: hell Hautfaarf, hell Hautfaarf
🤳🏼	Handy, Kamera, Selfie, Selfie: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🤳🏽	Handy, Kamera, Selfie, Selfie: mëttel Hautfaarf, mëttel Hautfaarf
🤳🏾	Handy, Kamera, Selfie, Selfie: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
🤳🏿	Handy, Kamera, Selfie, Selfie: däischter Hautfaarf, däischter Hautfaarf
💪	Bizeps, Comic, Muskel, ugespaante Bizeps, uspanen
💪🏻	Bizeps, Comic, Muskel, hell Hautfaarf, ugespaante Bizeps, ugespaante Bizeps: hell Hautfaarf, uspanen
💪🏼	Bizeps, Comic, Muskel, mëttelhell Hautfaarf, ugespaante Bizeps, ugespaante Bizeps: mëttelhell Hautfaarf, uspanen
💪🏽	Bizeps, Comic, Muskel, mëttel Hautfaarf, ugespaante Bizeps, ugespaante Bizeps: mëttel Hautfaarf, uspanen
💪🏾	Bizeps, Comic, Muskel, mëtteldäischter Hautfaarf, ugespaante Bizeps, ugespaante Bizeps: mëtteldäischter Hautfaarf, uspanen
💪🏿	Bizeps, Comic, Muskel, däischter Hautfaarf, ugespaante Bizeps, ugespaante Bizeps: däischter Hautfaarf, uspanen
👂️	Kierper, Ouer
👂🏻	Kierper, Ouer, Ouer: hell Hautfaarf, hell Hautfaarf
👂🏼	Kierper, Ouer, Ouer: mëttelhell Hautfaarf, mëttelhell Hautfaarf
👂🏽	Kierper, Ouer, Ouer: mëttel Hautfaarf, mëttel Hautfaarf
👂🏾	Kierper, Ouer, Ouer: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
👂🏿	Kierper, Ouer, Ouer: däischter Hautfaarf, däischter Hautfaarf
👃	Kierper, Nues
👃🏻	Kierper, Nues, Nues: hell Hautfaarf, hell Hautfaarf
👃🏼	Kierper, Nues, Nues: mëttelhell Hautfaarf, mëttelhell Hautfaarf
👃🏽	Kierper, Nues, Nues: mëttel Hautfaarf, mëttel Hautfaarf
👃🏾	Kierper, Nues, Nues: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
👃🏿	Kierper, Nues, Nues: däischter Hautfaarf, däischter Hautfaarf
🧠	Gehir, intelligent
👀	A, Aen, Gesiicht
👁️	A, Kierper
👅	Kierper, Zong
👄	Lëpsen, Mond
👶	Bëbee, Puppelchen, jonk
👶🏻	Bëbee, Puppelchen, Puppelchen: hell Hautfaarf, hell Hautfaarf, jonk
👶🏼	Bëbee, Puppelchen, Puppelchen: mëttelhell Hautfaarf, jonk, mëttelhell Hautfaarf
👶🏽	Bëbee, Puppelchen, Puppelchen: mëttel Hautfaarf, jonk, mëttel Hautfaarf
👶🏾	Bëbee, Puppelchen, Puppelchen: mëtteldäischter Hautfaarf, jonk, mëtteldäischter Hautfaarf
👶🏿	Bëbee, Puppelchen, Puppelchen: däischter Hautfaarf, däischter Hautfaarf, jonk
🧒	Kand, jonk, neutral
🧒🏻	Kand, Kand: hell Hautfaarf, hell Hautfaarf, jonk, neutral
🧒🏼	Kand, Kand: mëttelhell Hautfaarf, jonk, mëttelhell Hautfaarf, neutral
🧒🏽	Kand, Kand: mëttel Hautfaarf, jonk, mëttel Hautfaarf, neutral
🧒🏾	Kand, Kand: mëtteldäischter Hautfaarf, jonk, mëtteldäischter Hautfaarf, neutral
🧒🏿	Kand, Kand: däischter Hautfaarf, däischter Hautfaarf, jonk, neutral
👦	Jong, jonk, klengen
👦🏻	Jong, Jong: hell Hautfaarf, hell Hautfaarf, jonk, klengen
👦🏼	Jong, Jong: mëttelhell Hautfaarf, jonk, klengen, mëttelhell Hautfaarf
👦🏽	Jong, Jong: mëttel Hautfaarf, jonk, klengen, mëttel Hautfaarf
👦🏾	Jong, Jong: mëtteldäischter Hautfaarf, jonk, klengen, mëtteldäischter Hautfaarf
👦🏿	Jong, Jong: däischter Hautfaarf, däischter Hautfaarf, jonk, klengen
👧	Jongfra, Meedchen, Stärzeechen, jonk
👧🏻	Jongfra, Meedchen, Meedchen: hell Hautfaarf, Stärzeechen, hell Hautfaarf, jonk
👧🏼	Jongfra, Meedchen, Meedchen: mëttelhell Hautfaarf, Stärzeechen, jonk, mëttelhell Hautfaarf
👧🏽	Jongfra, Meedchen, Meedchen: mëttel Hautfaarf, Stärzeechen, jonk, mëttel Hautfaarf
👧🏾	Jongfra, Meedchen, Meedchen: mëtteldäischter Hautfaarf, Stärzeechen, jonk, mëtteldäischter Hautfaarf
👧🏿	Jongfra, Meedchen, Meedchen: däischter Hautfaarf, Stärzeechen, däischter Hautfaarf, jonk
🧑	Erwuessenen, neutral
🧑🏻	Erwuessenen, Erwuessenen: hell Hautfaarf, hell Hautfaarf, neutral
🧑🏼	Erwuessenen, Erwuessenen: mëttelhell Hautfaarf, mëttelhell Hautfaarf, neutral
🧑🏽	Erwuessenen, Erwuessenen: mëttel Hautfaarf, mëttel Hautfaarf, neutral
🧑🏾	Erwuessenen, Erwuessenen: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, neutral
🧑🏿	Erwuessenen, Erwuessenen: däischter Hautfaarf, däischter Hautfaarf, neutral
👱	blond, blond Persoun
👱🏻	blond, blond Persoun, blond Persoun: hell Hautfaarf, hell Hautfaarf
👱🏼	blond, blond Persoun, blond Persoun: mëttelhell Hautfaarf, mëttelhell Hautfaarf
👱🏽	blond, blond Persoun, blond Persoun: mëttel Hautfaarf, mëttel Hautfaarf
👱🏾	blond, blond Persoun, blond Persoun: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
👱🏿	blond, blond Persoun, blond Persoun: däischter Hautfaarf, däischter Hautfaarf
🧑🏻‍❤‍💋‍🧑🏼	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, hell Hautfaarf, mëttelhell Hautfaarf, hell Hautfaarf, mëttelhell Hautfaarf
🧑🏻‍❤‍💋‍🧑🏽	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, hell Hautfaarf, mëttel Hautfaarf, hell Hautfaarf, mëttel Hautfaarf
🧑🏻‍❤‍💋‍🧑🏾	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, hell Hautfaarf, mëtteldäischter Hautfaarf, hell Hautfaarf, mëtteldäischter Hautfaarf
🧑🏻‍❤‍💋‍🧑🏿	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, hell Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, hell Hautfaarf
🧑🏼‍❤‍💋‍🧑🏻	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëttelhell Hautfaarf, hell Hautfaarf, hell Hautfaarf, mëttelhell Hautfaarf
🧑🏼‍❤‍💋‍🧑🏽	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëttelhell Hautfaarf, mëttel Hautfaarf, mëttel Hautfaarf, mëttelhell Hautfaarf
🧑🏼‍❤‍💋‍🧑🏾	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
🧑🏼‍❤‍💋‍🧑🏿	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëttelhell Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, mëttelhell Hautfaarf
🧑🏽‍❤‍💋‍🧑🏻	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëttel Hautfaarf, hell Hautfaarf, hell Hautfaarf, mëttel Hautfaarf
🧑🏽‍❤‍💋‍🧑🏼	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëttel Hautfaarf, mëttelhell Hautfaarf, mëttel Hautfaarf, mëttelhell Hautfaarf
🧑🏽‍❤‍💋‍🧑🏾	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëttel Hautfaarf, mëtteldäischter Hautfaarf, mëttel Hautfaarf, mëtteldäischter Hautfaarf
🧑🏽‍❤‍💋‍🧑🏿	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëttel Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, mëttel Hautfaarf
🧑🏾‍❤‍💋‍🧑🏻	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëtteldäischter Hautfaarf, hell Hautfaarf, hell Hautfaarf, mëtteldäischter Hautfaarf
🧑🏾‍❤‍💋‍🧑🏼	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
🧑🏾‍❤‍💋‍🧑🏽	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëtteldäischter Hautfaarf, mëttel Hautfaarf, mëttel Hautfaarf, mëtteldäischter Hautfaarf
🧑🏾‍❤‍💋‍🧑🏿	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, mëtteldäischter Hautfaarf, däischter Hautfaarf, däischter Hautfaarf, mëtteldäischter Hautfaarf
🧑🏿‍❤‍💋‍🧑🏻	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, däischter Hautfaarf, hell Hautfaarf, däischter Hautfaarf, hell Hautfaarf
🧑🏿‍❤‍💋‍🧑🏼	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, däischter Hautfaarf, mëttelhell Hautfaarf, däischter Hautfaarf, mëttelhell Hautfaarf
🧑🏿‍❤‍💋‍🧑🏽	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, däischter Hautfaarf, mëttel Hautfaarf, däischter Hautfaarf, mëttel Hautfaarf
🧑🏿‍❤‍💋‍🧑🏾	Erwuessenen, Koppel, Kuss, Kuss: Erwuessenen, Erwuessenen, däischter Hautfaarf, mëtteldäischter Hautfaarf, däischter Hautfaarf, mëtteldäischter Hautfaarf
🧑🏻‍❤‍🧑🏼	Erwuessenen, Koppel, Léift, hell Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, hell Hautfaarf, mëttelhell Hautfaarf
🧑🏻‍❤‍🧑🏽	Erwuessenen, Koppel, Léift, hell Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, hell Hautfaarf, mëttel Hautfaarf
🧑🏻‍❤‍🧑🏾	Erwuessenen, Koppel, Léift, hell Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, hell Hautfaarf, mëtteldäischter Hautfaarf
🧑🏻‍❤‍🧑🏿	Erwuessenen, Koppel, Léift, däischter Hautfaarf, hell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, hell Hautfaarf, däischter Hautfaarf
🧑🏼‍❤‍🧑🏻	Erwuessenen, Koppel, Léift, hell Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëttelhell Hautfaarf, hell Hautfaarf
🧑🏼‍❤‍🧑🏽	Erwuessenen, Koppel, Léift, mëttel Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëttelhell Hautfaarf, mëttel Hautfaarf
🧑🏼‍❤‍🧑🏾	Erwuessenen, Koppel, Léift, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf
🧑🏼‍❤‍🧑🏿	Erwuessenen, Koppel, Léift, däischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëttelhell Hautfaarf, däischter Hautfaarf
🧑🏽‍❤‍🧑🏻	Erwuessenen, Koppel, Léift, hell Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëttel Hautfaarf, hell Hautfaarf
🧑🏽‍❤‍🧑🏼	Erwuessenen, Koppel, Léift, mëttel Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëttel Hautfaarf, mëttelhell Hautfaarf
🧑🏽‍❤‍🧑🏾	Erwuessenen, Koppel, Léift, mëttel Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëttel Hautfaarf, mëtteldäischter Hautfaarf
🧑🏽‍❤‍🧑🏿	Erwuessenen, Koppel, Léift, däischter Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëttel Hautfaarf, däischter Hautfaarf
🧑🏾‍❤‍🧑🏻	Erwuessenen, Koppel, Léift, hell Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëtteldäischter Hautfaarf, hell Hautfaarf
🧑🏾‍❤‍🧑🏼	Erwuessenen, Koppel, Léift, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
🧑🏾‍❤‍🧑🏽	Erwuessenen, Koppel, Léift, mëttel Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëtteldäischter Hautfaarf, mëttel Hautfaarf
🧑🏾‍❤‍🧑🏿	Erwuessenen, Koppel, Léift, däischter Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, mëtteldäischter Hautfaarf, däischter Hautfaarf
🧑🏿‍❤‍🧑🏻	Erwuessenen, Koppel, Léift, däischter Hautfaarf, hell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, däischter Hautfaarf, hell Hautfaarf
🧑🏿‍❤‍🧑🏼	Erwuessenen, Koppel, Léift, däischter Hautfaarf, mëttelhell Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, däischter Hautfaarf, mëttelhell Hautfaarf
🧑🏿‍❤‍🧑🏽	Erwuessenen, Koppel, Léift, däischter Hautfaarf, mëttel Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, däischter Hautfaarf, mëttel Hautfaarf
🧑🏿‍❤‍🧑🏾	Erwuessenen, Koppel, Léift, däischter Hautfaarf, mëtteldäischter Hautfaarf, verléift Koppel, verléift Koppel: Erwuessenen, Erwuessenen, däischter Hautfaarf, mëtteldäischter Hautfaarf
👨	Mann
👨🏻	Mann, Mann: hell Hautfaarf, hell Hautfaarf
👨🏼	Mann, Mann: mëttelhell Hautfaarf, mëttelhell Hautfaarf
👨🏽	Mann, Mann: mëttel Hautfaarf, mëttel Hautfaarf
👨🏾	Mann, Mann: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
👨🏿	Mann, Mann: däischter Hautfaarf, däischter Hautfaarf
🧔	Baart, Persoun mat Baart
🧔🏻	Baart, Persoun mat Baart, Persoun mat Baart: hell Hautfaarf, hell Hautfaarf
🧔🏼	Baart, Persoun mat Baart, Persoun mat Baart: mëttelhell Hautfaarf, mëttelhell Hautfaarf
🧔🏽	Baart, Persoun mat Baart, Persoun mat Baart: mëttel Hautfaarf, mëttel Hautfaarf
🧔🏾	Baart, Persoun mat Baart, Persoun mat Baart: mëtteldäischter Hautfaarf, mëtteldäischter Hautfaarf
