🦵🏻	membru, picior, picior: ton deschis al pielii, ton deschis al pielii, șut
👩🏼‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👩🏽‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton mediu al pielii, ton mediu al pielii
👩🏾‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton semi‑închis al pielii, ton semi‑închis al pielii
👩🏿‍💻	dezvoltatoare, informaticiană, programatoare, software, specialistă IT, specialistă IT: ton închis al pielii, ton închis al pielii
👨🏻‍🎤	actor, comediant, cântăreț, cântăreț: ton deschis al pielii, rock, star, ton deschis al pielii, vedetă
👨🏼‍🎤	actor, comediant, cântăreț, cântăreț: ton semi‑deschis al pielii, rock, star, ton semi‑deschis al pielii, vedetă
👨🏽‍🎤	actor, comediant, cântăreț, cântăreț: ton mediu al pielii, rock, star, ton mediu al pielii, vedetă
👨🏾‍🎤	actor, comediant, cântăreț, cântăreț: ton semi‑închis al pielii, rock, star, ton semi‑închis al pielii, vedetă
👨🏿‍🎤	actor, comediant, cântăreț, cântăreț: ton închis al pielii, rock, star, ton închis al pielii, vedetă
👩🏻‍🎤	actriță, comediantă, cântăreață, cântăreață: ton deschis al pielii, rock, star, ton deschis al pielii, vedetă
👩🏼‍🎤	actriță, comediantă, cântăreață, cântăreață: ton semi‑deschis al pielii, rock, star, ton semi‑deschis al pielii, vedetă
👩🏽‍🎤	actriță, comediantă, cântăreață, cântăreață: ton mediu al pielii, rock, star, ton mediu al pielii, vedetă
👩🏾‍🎤	actriță, comediantă, cântăreață, cântăreață: ton semi‑închis al pielii, rock, star, ton semi‑închis al pielii, vedetă
👩🏿‍🎤	actriță, comediantă, cântăreață, cântăreață: ton închis al pielii, rock, star, ton închis al pielii, vedetă
👨🏻‍🎨	artist, artist: ton deschis al pielii, paletă, pictor, ton deschis al pielii
👨🏼‍🎨	artist, artist: ton semi‑deschis al pielii, paletă, pictor, ton semi‑deschis al pielii
👨🏽‍🎨	artist, artist: ton mediu al pielii, paletă, pictor, ton mediu al pielii
👨🏾‍🎨	artist, artist: ton semi‑închis al pielii, paletă, pictor, ton semi‑închis al pielii
👨🏿‍🎨	artist, artist: ton închis al pielii, paletă, pictor, ton închis al pielii
👩🏻‍🎨	artistă, artistă: ton deschis al pielii, paletă, pictoriță, ton deschis al pielii
👩🏼‍🎨	artistă, artistă: ton semi‑deschis al pielii, paletă, pictoriță, ton semi‑deschis al pielii
👩🏽‍🎨	artistă, artistă: ton mediu al pielii, paletă, pictoriță, ton mediu al pielii
👩🏾‍🎨	artistă, artistă: ton semi‑închis al pielii, paletă, pictoriță, ton semi‑închis al pielii
👩🏿‍🎨	artistă, artistă: ton închis al pielii, paletă, pictoriță, ton închis al pielii
👨🏻‍✈	avion, pilot, pilot: ton deschis al pielii, ton deschis al pielii
👨🏼‍✈	avion, pilot, pilot: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👨🏽‍✈	avion, pilot, pilot: ton mediu al pielii, ton mediu al pielii
👨🏾‍✈	avion, pilot, pilot: ton semi‑închis al pielii, ton semi‑închis al pielii
👨🏿‍✈	avion, pilot, pilot: ton închis al pielii, ton închis al pielii
👩🏻‍✈	avion, femeie pilot, femeie pilot: ton deschis al pielii, ton deschis al pielii
👩🏼‍✈	avion, femeie pilot, femeie pilot: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👩🏽‍✈	avion, femeie pilot, femeie pilot: ton mediu al pielii, ton mediu al pielii
👩🏾‍✈	avion, femeie pilot, femeie pilot: ton semi‑închis al pielii, ton semi‑închis al pielii
👩🏿‍✈	avion, femeie pilot, femeie pilot: ton închis al pielii, ton închis al pielii
👨🏻‍🚀	astronaut, astronaut: ton deschis al pielii, cosmonaut, rachetă, spațiu, ton deschis al pielii
👨🏼‍🚀	astronaut, astronaut: ton semi‑deschis al pielii, cosmonaut, rachetă, spațiu, ton semi‑deschis al pielii
👨🏽‍🚀	astronaut, astronaut: ton mediu al pielii, cosmonaut, rachetă, spațiu, ton mediu al pielii
👨🏾‍🚀	astronaut, astronaut: ton semi‑închis al pielii, cosmonaut, rachetă, spațiu, ton semi‑închis al pielii
👨🏿‍🚀	astronaut, astronaut: ton închis al pielii, cosmonaut, rachetă, spațiu, ton închis al pielii
👩🏻‍🚀	astronaută, astronaută: ton deschis al pielii, cosmonaută, rachetă, spațiu, ton deschis al pielii
👩🏼‍🚀	astronaută, astronaută: ton semi‑deschis al pielii, cosmonaută, rachetă, spațiu, ton semi‑deschis al pielii
👩🏽‍🚀	astronaută, astronaută: ton mediu al pielii, cosmonaută, rachetă, spațiu, ton mediu al pielii
👩🏾‍🚀	astronaută, astronaută: ton semi‑închis al pielii, cosmonaută, rachetă, spațiu, ton semi‑închis al pielii
👩🏿‍🚀	astronaută, astronaută: ton închis al pielii, cosmonaută, rachetă, spațiu, ton închis al pielii
👨🏻‍🚒	mașină de pompieri, pompier, pompier: ton deschis al pielii, ton deschis al pielii
👨🏼‍🚒	mașină de pompieri, pompier, pompier: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👨🏽‍🚒	mașină de pompieri, pompier, pompier: ton mediu al pielii, ton mediu al pielii
👨🏾‍🚒	mașină de pompieri, pompier, pompier: ton semi‑închis al pielii, ton semi‑închis al pielii
👨🏿‍🚒	mașină de pompieri, pompier, pompier: ton închis al pielii, ton închis al pielii
👩🏻‍🚒	femeie pompier, femeie pompier: ton deschis al pielii, mașină de pompieri, ton deschis al pielii
👩🏼‍🚒	femeie pompier, femeie pompier: ton semi‑deschis al pielii, mașină de pompieri, ton semi‑deschis al pielii
👩🏽‍🚒	femeie pompier, femeie pompier: ton mediu al pielii, mașină de pompieri, ton mediu al pielii
👩🏾‍🚒	femeie pompier, femeie pompier: ton semi‑închis al pielii, mașină de pompieri, ton semi‑închis al pielii
👩🏿‍🚒	femeie pompier, femeie pompier: ton închis al pielii, mașină de pompieri, ton închis al pielii
👮🏻	ofițer, polițist, polițist: ton deschis al pielii, ton deschis al pielii
👮🏼	ofițer, polițist, polițist: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👮🏽	ofițer, polițist, polițist: ton mediu al pielii, ton mediu al pielii
👮🏾	ofițer, polițist, polițist: ton semi‑închis al pielii, ton semi‑închis al pielii
👮🏿	ofițer, polițist, polițist: ton închis al pielii, ton închis al pielii
👮🏻‍♂	ofițer, poliție, polițist, polițist bărbat, polițist bărbat: ton deschis al pielii, ton deschis al pielii
👮🏼‍♂	ofițer, poliție, polițist, polițist bărbat, polițist bărbat: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👮🏽‍♂	ofițer, poliție, polițist, polițist bărbat, polițist bărbat: ton mediu al pielii, ton mediu al pielii
👮🏾‍♂	ofițer, poliție, polițist, polițist bărbat, polițist bărbat: ton semi‑închis al pielii, ton semi‑închis al pielii
👮🏿‍♂	ofițer, poliție, polițist, polițist bărbat, polițist bărbat: ton închis al pielii, ton închis al pielii
👮🏻‍♀	poliție, polițistă, polițistă: ton deschis al pielii, ton deschis al pielii
👮🏼‍♀	poliție, polițistă, polițistă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👮🏽‍♀	poliție, polițistă, polițistă: ton mediu al pielii, ton mediu al pielii
👮🏾‍♀	poliție, polițistă, polițistă: ton semi‑închis al pielii, ton semi‑închis al pielii
👮🏿‍♀	poliție, polițistă, polițistă: ton închis al pielii, ton închis al pielii
🕵🏻	agent secret, detectiv, detectiv: ton deschis al pielii, spion, ton deschis al pielii
🕵🏼	agent secret, detectiv, detectiv: ton semi‑deschis al pielii, spion, ton semi‑deschis al pielii
🕵🏽	agent secret, detectiv, detectiv: ton mediu al pielii, spion, ton mediu al pielii
🕵🏾	agent secret, detectiv, detectiv: ton semi‑închis al pielii, spion, ton semi‑închis al pielii
🕵🏿	agent secret, detectiv, detectiv: ton închis al pielii, spion, ton închis al pielii
🕵🏻‍♂	agent secret, detectiv, detectiv bărbat, detectiv bărbat: ton deschis al pielii, spion, ton deschis al pielii
🕵🏼‍♂	agent secret, detectiv, detectiv bărbat, detectiv bărbat: ton semi‑deschis al pielii, spion, ton semi‑deschis al pielii
🕵🏽‍♂	agent secret, detectiv, detectiv bărbat, detectiv bărbat: ton mediu al pielii, spion, ton mediu al pielii
🕵🏾‍♂	agent secret, detectiv, detectiv bărbat, detectiv bărbat: ton semi‑închis al pielii, spion, ton semi‑închis al pielii
🕵🏿‍♂	agent secret, detectiv, detectiv bărbat, detectiv bărbat: ton închis al pielii, spion, ton închis al pielii
🕵🏻‍♀	agentă secretă, detectivă, femeie detectiv, femeie detectiv: ton deschis al pielii, spioană, ton deschis al pielii
🕵🏼‍♀	agentă secretă, detectivă, femeie detectiv, femeie detectiv: ton semi‑deschis al pielii, spioană, ton semi‑deschis al pielii
🕵🏽‍♀	agentă secretă, detectivă, femeie detectiv, femeie detectiv: ton mediu al pielii, spioană, ton mediu al pielii
🕵🏾‍♀	agentă secretă, detectivă, femeie detectiv, femeie detectiv: ton semi‑închis al pielii, spioană, ton semi‑închis al pielii
🕵🏿‍♀	agentă secretă, detectivă, femeie detectiv, femeie detectiv: ton închis al pielii, spioană, ton închis al pielii
💂🏻	gardian, gardian: ton deschis al pielii, gardă, pază, protecție, ton deschis al pielii
💂🏼	gardian, gardian: ton semi‑deschis al pielii, gardă, pază, protecție, ton semi‑deschis al pielii
💂🏽	gardian, gardian: ton mediu al pielii, gardă, pază, protecție, ton mediu al pielii
💂🏾	gardian, gardian: ton semi‑închis al pielii, gardă, pază, protecție, ton semi‑închis al pielii
💂🏿	gardian, gardian: ton închis al pielii, gardă, pază, protecție, ton închis al pielii
💂🏻‍♂	bărbat, bărbat gardian: ton deschis al pielii, gardian, gardă, pază, protecție, ton deschis al pielii
💂🏼‍♂	bărbat, bărbat gardian: ton semi‑deschis al pielii, gardian, gardă, pază, protecție, ton semi‑deschis al pielii
💂🏽‍♂	bărbat, bărbat gardian: ton mediu al pielii, gardian, gardă, pază, protecție, ton mediu al pielii
💂🏾‍♂	bărbat, bărbat gardian: ton semi‑închis al pielii, gardian, gardă, pază, protecție, ton semi‑închis al pielii
💂🏿‍♂	bărbat, bărbat gardian: ton închis al pielii, gardian, gardă, pază, protecție, ton închis al pielii
💂🏻‍♀	femeie, femeie gardian: ton deschis al pielii, gardian, gardă, pază, protecție, ton deschis al pielii
💂🏼‍♀	femeie, femeie gardian: ton semi‑deschis al pielii, gardian, gardă, pază, protecție, ton semi‑deschis al pielii
💂🏽‍♀	femeie, femeie gardian: ton mediu al pielii, gardian, gardă, pază, protecție, ton mediu al pielii
💂🏾‍♀	femeie, femeie gardian: ton semi‑închis al pielii, gardian, gardă, pază, protecție, ton semi‑închis al pielii
💂🏿‍♀	femeie, femeie gardian: ton închis al pielii, gardian, gardă, pază, protecție, ton închis al pielii
👷🏻	cască de protecție, constructor, constructor: ton deschis al pielii, construcții, muncă, ton deschis al pielii
👷🏼	cască de protecție, constructor, constructor: ton semi‑deschis al pielii, construcții, muncă, ton semi‑deschis al pielii
👷🏽	cască de protecție, constructor, constructor: ton mediu al pielii, construcții, muncă, ton mediu al pielii
👷🏾	cască de protecție, constructor, constructor: ton semi‑închis al pielii, construcții, muncă, ton semi‑închis al pielii
👷🏿	cască de protecție, constructor, constructor: ton închis al pielii, construcții, muncă, ton închis al pielii
👷🏻‍♂	construcții, muncitor, muncitor în construcții, muncitor în construcții: ton deschis al pielii, ton deschis al pielii
👷🏼‍♂	construcții, muncitor, muncitor în construcții, muncitor în construcții: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👷🏽‍♂	construcții, muncitor, muncitor în construcții, muncitor în construcții: ton mediu al pielii, ton mediu al pielii
👷🏾‍♂	construcții, muncitor, muncitor în construcții, muncitor în construcții: ton semi‑închis al pielii, ton semi‑închis al pielii
👷🏿‍♂	construcții, muncitor, muncitor în construcții, muncitor în construcții: ton închis al pielii, ton închis al pielii
👷🏻‍♀	construcții, muncitoare, muncitoare în construcții, muncitoare în construcții: ton deschis al pielii, ton deschis al pielii
👷🏼‍♀	construcții, muncitoare, muncitoare în construcții, muncitoare în construcții: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👷🏽‍♀	construcții, muncitoare, muncitoare în construcții, muncitoare în construcții: ton mediu al pielii, ton mediu al pielii
👷🏾‍♀	construcții, muncitoare, muncitoare în construcții, muncitoare în construcții: ton semi‑închis al pielii, ton semi‑închis al pielii
👷🏿‍♀	construcții, muncitoare, muncitoare în construcții, muncitoare în construcții: ton închis al pielii, ton închis al pielii
🤴🏻	principe, prinț, prinț: ton deschis al pielii, ton deschis al pielii
🤴🏼	principe, prinț, prinț: ton semi‑deschis al pielii, ton semi‑deschis al pielii
🤴🏽	principe, prinț, prinț: ton mediu al pielii, ton mediu al pielii
🤴🏾	principe, prinț, prinț: ton semi‑închis al pielii, ton semi‑închis al pielii
🤴🏿	principe, prinț, prinț: ton închis al pielii, ton închis al pielii
👸🏻	basm, fantezie, poveste, prințesă, prințesă: ton deschis al pielii, ton deschis al pielii
👸🏼	basm, fantezie, poveste, prințesă, prințesă: ton semi‑deschis al pielii, ton semi‑deschis al pielii
👸🏽	basm, fantezie, poveste, prințesă, prințesă: ton mediu al pielii, ton mediu al pielii
👸🏾	basm, fantezie, poveste, prințesă, prințesă: ton semi‑închis al pielii, ton semi‑închis al pielii
👸🏿	basm, fantezie, poveste, prințesă, prințesă: ton închis al pielii, ton închis al pielii
👳🏻	persoană cu turban, persoană cu turban: ton deschis al pielii, ton deschis al pielii, turban
👳🏼	persoană cu turban, persoană cu turban: ton semi‑deschis al pielii, ton semi‑deschis al pielii, turban
👳🏽	persoană cu turban, persoană cu turban: ton mediu al pielii, ton mediu al pielii, turban
👳🏾	persoană cu turban, persoană cu turban: ton semi‑închis al pielii, ton semi‑închis al pielii, turban
👳🏿	persoană cu turban, persoană cu turban: ton închis al pielii, ton închis al pielii, turban
